ID Allocation Policy is 0(low port first) / 1(Crossing Paths based method): 1
Address method is 0(destination_based) / 1(path_based): 1
 dst_based renewable label = 5
 path_based renewable label = 5
 slot_max = 5


 (east, west, south, north, front, back, out, in, from host0,... east(vch2), south(vch2), west(vch2), north(vch2), front, back, out, in, from host(vch2)0,.. to host(vch2)0,..
 Node 106:   2 2 0 2 2 1 1 0 0 0 0 0 0 0 0 0 0 0 1 1
 Node 107:   2 1 0 2 2 1 0 0 0 0 0 0 0 0 0 0 0 2 1 0
 Node 108:   0 0 0 2 0 1 1 0 1 0 0 0 1 0 0 0 0 1 0 1
 Node 109:   0 1 0 1 2 1 3 0 1 1 0 0 0 0 0 1 0 0 0 1
 Node 110:   2 2 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 2 1 0
 Node 111:   0 0 2 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0
 Node 112:   1 0 0 1 0 1 0 0 0 0 0 1 2 0 0 0 0 2 1 0
 Node 113:   1 1 2 0 0 0 2 0 0 1 0 0 0 0 0 1 0 1 1 2
 Node 114:   1 0 0 2 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0
 Node 115:   0 2 1 2 2 0 0 0 0 0 0 0 1 0 0 0 0 1 1 1
 Node 116:   0 3 0 1 0 0 1 0 1 0 0 0 2 0 0 0 0 0 0 2
 Node 117:   0 4 0 1 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0
 Node 118:   1 4 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 2
 Node 119:   0 2 2 0 0 1 2 0 0 1 0 0 0 0 0 0 0 1 1 1
 Node 120:   0 0 0 1 0 0 1 0 0 0 0 0 2 0 0 0 0 0 1 1
 Node 121:   0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 1 0 1 0 1
 Node 122:   2 0 0 1 1 0 1 0 1 0 0 0 1 0 0 0 0 1 1 3
 Node 123:   0 0 0 3 4 0 2 0 0 1 0 0 1 0 0 0 0 1 1 0
 Node 124:   1 1 0 1 1 2 0 0 1 1 0 0 2 0 0 0 0 1 0 1
 Node 125:   1 4 0 0 0 0 1 0 1 0 0 0 2 0 0 0 0 0 1 1
 Node 126:   1 3 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0
 Node 127:   0 1 0 0 0 1 0 0 1 2 0 0 1 0 0 1 0 0 0 1
 Node 128:   2 0 0 0 1 2 1 0 1 1 0 0 0 1 0 0 0 1 0 0
 Node 129:   2 0 1 0 0 1 1 0 1 1 0 0 0 1 0 1 0 0 0 0
