ID Allocation Policy is 0(low port first) / 1(Crossing Paths based method): 1
Address method is 0(destination_based) / 1(path_based): 1
 dst_based renewable label = 11
 path_based renewable label = 11
 slot_max = 11


 (east, west, south, north, front, back, out, in, from host0,... east(vch2), south(vch2), west(vch2), north(vch2), front, back, out, in, from host(vch2)0,.. to host(vch2)0,..
 Node 64:   1 0 1 0 1 0 0 0 1 1 0 4 0 1 0 0 0 1 0 0
 Node 65:   0 0 0 0 0 0 0 0 1 1 0 3 0 1 0 0 0 1 0 0
 Node 66:   3 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0
 Node 67:   6 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 1 0 0
 Node 68:   7 0 1 0 1 1 0 0 1 1 0 0 0 2 0 0 0 1 0 0
 Node 69:   4 1 1 0 3 1 1 0 2 1 0 0 0 4 0 1 0 3 0 1
 Node 70:   1 1 6 0 6 2 2 0 1 2 1 0 0 1 0 2 0 2 3 2
 Node 71:   0 3 2 0 3 2 0 0 2 2 2 0 0 3 0 1 0 4 0 0
 Node 72:   0 0 1 0 1 0 0 0 0 0 0 3 0 1 0 0 0 0 1 1
 Node 73:   0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 1 0
 Node 74:   0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 2 0 0
 Node 75:   0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 2 1 0
 Node 76:   0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 1 1
 Node 77:   0 1 1 0 0 1 0 0 1 1 0 0 0 0 0 0 0 2 0 0
 Node 78:   1 1 3 0 1 2 0 0 1 1 1 0 0 0 0 0 0 1 0 0
 Node 79:   0 0 1 2 1 1 0 0 1 1 1 0 0 1 0 0 0 2 0 0
 Node 80:   0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1
 Node 81:   0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0
 Node 82:   0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0
 Node 83:   0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 1 0
 Node 84:   0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 1
