ID Allocation Policy is 0(low port first) / 1(Crossing Paths based method): 1
Address method is 0(destination_based) / 1(path_based): 1
 dst_based renewable label = 19
 path_based renewable label = 19
 slot_max = 19


 (east, west, south, north, front, back, from host0,... east(vch2), south(vch2), west(vch2), north(vch2), front, back, from host(vch2)0,.. to host(vch2)0,..
 Node 77:   0 2 1 0 0 0 1 1 1 0 0 0 0 0 0 0
 Node 78:   0 2 0 0 4 0 0 0 2 0 0 0 0 0 1 1
 Node 79:   0 3 1 0 0 0 1 1 2 0 0 0 0 3 0 0
 Node 80:   2 0 0 0 4 0 0 0 0 2 0 0 0 0 1 1
 Node 81:   1 1 2 0 0 0 1 1 0 1 0 0 0 0 0 0
 Node 82:   1 0 0 3 4 0 0 0 0 1 0 0 0 0 1 1
 Node 83:   0 1 2 0 0 0 1 1 0 0 0 0 0 0 0 0
 Node 84:   1 0 0 2 4 0 0 0 0 0 0 0 0 0 1 1
 Node 85:   1 1 2 0 0 0 1 1 0 0 0 0 0 0 0 0
 Node 86:   2 1 0 3 4 0 0 0 0 0 0 0 0 0 1 1
 Node 87:   2 2 2 1 0 0 1 1 0 0 0 0 0 3 0 0
 Node 88:   2 2 0 0 4 0 0 0 0 0 0 0 0 0 1 1
 Node 89:   1 2 2 0 0 0 1 1 0 0 0 0 0 0 0 0
 Node 90:   1 1 0 3 4 0 0 0 0 0 0 0 0 0 1 1
 Node 91:   0 1 2 0 0 0 1 1 0 0 0 0 0 0 0 0
 Node 92:   0 0 0 2 4 0 0 0 1 0 0 0 0 0 1 1
 Node 93:   0 1 2 0 0 0 1 1 1 0 0 0 0 0 0 0
 Node 94:   0 1 0 3 4 0 0 0 2 0 0 0 0 0 1 1
 Node 95:   0 2 2 1 0 0 1 1 2 0 0 0 0 3 0 0
 Node 96:   2 0 0 0 4 0 0 0 0 2 0 0 0 0 1 1
 Node 97:   1 1 2 0 0 0 1 1 0 1 0 0 0 2 0 0
 Node 98:   1 0 0 6 4 0 0 0 0 1 0 0 0 0 1 1
 Node 99:   0 1 2 0 0 0 1 1 0 0 0 0 0 2 0 0
 Node 100:   1 0 0 5 4 0 0 0 0 0 0 0 0 0 1 1
 Node 101:   1 1 2 0 0 0 1 1 0 0 0 0 0 2 0 0
 Node 102:   2 1 0 6 4 0 0 0 0 0 0 0 0 0 1 1
 Node 103:   2 2 2 1 0 0 1 1 0 0 0 0 0 5 0 0
 Node 104:   2 2 0 0 4 0 0 0 0 0 0 0 0 0 1 1
 Node 105:   1 2 2 0 0 0 1 1 0 0 0 0 0 2 0 0
 Node 106:   1 1 0 6 4 0 0 0 0 0 0 0 0 0 1 1
 Node 107:   0 1 2 0 0 0 1 1 0 0 0 0 0 2 0 0
 Node 108:   0 0 0 5 4 0 0 0 1 0 0 0 0 0 1 1
 Node 109:   0 1 2 0 0 0 1 1 1 0 0 0 0 2 0 0
 Node 110:   0 1 0 6 4 0 0 0 2 0 0 0 0 0 1 1
 Node 111:   0 2 2 1 0 0 1 1 2 0 0 0 0 5 0 0
 Node 112:   12 0 0 0 4 0 9 0 0 2 0 0 0 18 1 10
 Node 113:   11 1 2 1 0 0 1 1 0 1 0 0 0 5 0 0
 Node 114:   1 0 0 9 4 0 0 0 0 1 0 0 0 0 1 1
 Node 115:   0 1 2 1 0 0 1 1 0 0 0 0 0 5 0 0
 Node 116:   1 0 0 8 4 0 0 0 0 0 0 0 0 0 1 1
 Node 117:   1 9 2 1 0 0 1 1 0 0 0 0 0 5 0 0
 Node 118:   2 9 0 9 4 0 0 0 0 0 0 0 0 0 1 1
 Node 119:   2 19 2 2 0 0 19 1 0 0 0 0 0 14 0 18
 Node 120:   12 2 0 0 4 0 9 0 0 0 0 0 0 18 1 10
 Node 121:   10 2 2 1 0 0 1 1 0 0 0 0 0 5 0 0
 Node 122:   1 1 0 9 4 0 0 0 0 0 0 0 0 0 1 1
 Node 123:   0 1 2 1 0 0 1 1 0 0 0 0 0 5 0 0
 Node 124:   0 0 0 8 4 0 0 0 1 0 0 0 0 0 1 1
 Node 125:   0 9 2 1 0 0 1 1 2 0 0 0 0 5 0 0
 Node 126:   0 9 0 9 4 0 0 0 3 0 0 0 0 0 1 1
 Node 127:   0 19 2 2 0 0 19 1 3 0 0 0 0 14 0 18
 Node 128:   12 0 0 0 4 0 9 0 0 2 0 0 0 18 1 10
 Node 129:   10 1 2 2 0 0 1 1 0 1 0 0 0 3 0 0
 Node 130:   1 0 9 0 4 0 0 0 0 1 0 0 0 0 1 1
 Node 131:   0 1 2 2 0 0 1 1 0 0 0 0 0 3 0 0
 Node 132:   1 0 8 0 4 0 0 0 0 0 0 0 0 0 1 1
 Node 133:   1 9 2 2 0 0 1 1 0 0 0 0 0 3 0 0
 Node 134:   2 9 9 0 4 0 0 0 0 0 0 0 0 0 1 1
 Node 135:   2 19 3 2 0 0 19 1 0 0 0 0 0 11 0 18
 Node 136:   12 2 0 0 4 0 9 0 0 0 0 0 0 18 1 10
 Node 137:   10 2 2 2 0 0 1 1 0 0 0 0 0 3 0 0
 Node 138:   1 1 9 0 4 0 0 0 0 0 0 0 0 0 1 1
 Node 139:   0 1 2 2 0 0 1 1 0 0 0 0 0 3 0 0
 Node 140:   0 0 8 0 4 0 0 0 1 0 0 0 0 0 1 1
 Node 141:   0 9 2 2 0 0 1 1 1 0 0 0 0 3 0 0
 Node 142:   0 9 9 0 4 0 0 0 2 0 0 0 0 0 1 1
 Node 143:   0 19 3 2 0 0 19 1 2 0 0 0 0 11 0 18
 Node 144:   2 0 0 0 4 0 0 0 0 2 0 0 0 0 1 1
 Node 145:   1 1 2 1 0 0 1 1 0 1 0 0 0 0 0 0
 Node 146:   1 0 6 0 4 0 0 0 0 1 0 0 0 0 1 1
 Node 147:   0 1 2 1 0 0 1 1 0 0 0 0 0 0 0 0
 Node 148:   1 0 6 0 4 0 0 0 0 0 0 0 0 0 1 1
 Node 149:   1 2 2 1 0 0 1 1 0 0 0 0 0 0 0 0
 Node 150:   2 2 6 0 4 0 0 0 0 0 0 0 0 0 1 1
 Node 151:   2 3 2 1 0 0 1 1 0 0 0 0 0 3 0 0
 Node 152:   2 2 0 0 4 0 0 0 0 0 0 0 0 0 1 1
 Node 153:   1 2 2 1 0 0 1 1 0 0 0 0 0 0 0 0
 Node 154:   1 1 6 0 4 0 0 0 0 0 0 0 0 0 1 1
 Node 155:   0 1 2 1 0 0 1 1 0 0 0 0 0 0 0 0
 Node 156:   0 0 6 0 4 0 0 0 1 0 0 0 0 0 1 1
 Node 157:   0 2 2 1 0 0 1 1 1 0 0 0 0 0 0 0
 Node 158:   0 2 6 0 4 0 0 0 2 0 0 0 0 0 1 1
 Node 159:   0 3 2 1 0 0 1 1 2 0 0 0 0 3 0 0
 Node 160:   2 0 0 0 4 0 0 0 0 2 0 0 0 0 1 1
 Node 161:   1 1 1 0 0 0 1 1 0 1 0 0 0 2 0 0
 Node 162:   1 0 3 0 4 0 0 0 0 1 0 0 0 0 1 1
 Node 163:   0 1 1 0 0 0 1 1 0 0 0 0 0 2 0 0
 Node 164:   1 0 3 0 4 0 0 0 0 0 0 0 0 0 1 1
 Node 165:   1 1 1 0 0 0 1 1 0 0 0 0 0 2 0 0
 Node 166:   2 1 3 0 4 0 0 0 0 0 0 0 0 0 1 1
 Node 167:   2 2 1 0 0 0 1 1 0 0 0 0 0 5 0 0
 Node 168:   2 2 0 0 4 0 0 0 0 0 0 0 0 0 1 1
 Node 169:   1 2 1 0 0 0 1 1 0 0 0 0 0 2 0 0
 Node 170:   1 1 3 0 4 0 0 0 0 0 0 0 0 0 1 1
 Node 171:   0 1 1 0 0 0 1 1 0 0 0 0 0 2 0 0
 Node 172:   0 0 3 0 4 0 0 0 1 0 0 0 0 0 1 1
 Node 173:   0 1 1 0 0 0 1 1 1 0 0 0 0 2 0 0
 Node 174:   0 1 3 0 4 0 0 0 2 0 0 0 0 0 1 1
 Node 175:   0 2 1 0 0 0 1 1 2 0 0 0 0 5 0 0
 Node 176:   2 0 0 0 4 0 0 0 0 2 0 0 0 0 1 1
 Node 177:   1 1 0 0 0 0 1 1 0 1 0 0 0 2 0 0
 Node 178:   1 0 0 0 4 0 0 0 0 1 0 0 0 0 1 1
 Node 179:   0 1 0 0 0 0 1 1 0 0 0 0 0 2 0 0
 Node 180:   1 0 0 0 4 0 0 0 0 0 0 0 0 0 1 1
 Node 181:   1 1 0 0 0 0 1 1 0 0 0 0 0 2 0 0
 Node 182:   2 1 0 0 4 0 0 0 0 0 0 0 0 0 1 1
 Node 183:   2 2 0 0 0 0 1 1 0 0 0 0 0 6 0 0
 Node 184:   2 2 0 0 4 0 0 0 0 0 0 0 0 0 1 1
 Node 185:   1 2 0 0 0 0 1 1 0 0 0 0 0 2 0 0
 Node 186:   1 1 0 0 4 0 0 0 0 0 0 0 0 0 1 1
 Node 187:   0 1 0 0 0 0 1 1 0 0 0 0 0 2 0 0
 Node 188:   0 0 0 0 4 0 0 0 1 0 0 0 0 0 1 1
 Node 189:   0 1 0 0 0 0 1 1 1 0 0 0 0 2 0 0
 Node 190:   0 1 0 0 4 0 0 0 2 0 0 0 0 0 1 1
 Node 191:   0 2 0 0 0 0 1 1 2 0 0 0 0 6 0 0
 Node 192:   2 0 0 0 4 0 0 0 0 2 0 0 0 0 1 1
 Node 193:   1 1 0 0 0 0 1 1 0 1 1 0 0 1 0 0
 Node 194:   1 0 0 0 4 0 0 0 0 1 0 0 0 0 1 1
 Node 195:   0 1 0 0 0 0 1 1 0 0 1 0 0 1 0 0
 Node 196:   1 0 0 0 4 0 0 0 0 0 0 0 0 0 1 1
 Node 197:   1 2 0 0 0 0 1 1 0 0 1 0 0 1 0 0
 Node 198:   2 2 0 0 4 0 0 0 0 0 0 0 0 0 1 1
 Node 199:   2 3 0 0 0 0 1 1 0 0 1 0 0 4 0 0
 Node 200:   2 2 0 0 4 0 0 0 0 0 0 0 0 0 1 1
 Node 201:   1 2 0 0 0 0 1 1 0 0 1 0 0 1 0 0
 Node 202:   1 1 0 0 4 0 0 0 0 0 0 0 0 0 1 1
 Node 203:   0 1 0 0 0 0 1 1 0 0 1 0 0 1 0 0
 Node 204:   0 0 0 0 4 0 0 0 1 0 0 0 0 0 1 1
 Node 205:   0 2 0 0 0 0 1 1 1 0 1 0 0 1 0 0
 Node 206:   0 2 0 0 4 0 0 0 2 0 0 0 0 0 1 1
 Node 207:   0 3 0 0 0 0 1 1 2 0 1 0 0 3 0 0
 Node 208:   2 0 0 0 4 0 0 0 0 2 0 0 0 0 1 1
 Node 209:   2 1 0 1 0 0 1 1 0 0 1 0 0 1 0 0
 Node 210:   2 0 0 3 4 0 0 0 0 0 1 0 0 0 1 1
 Node 211:   0 1 0 1 0 0 1 1 0 0 2 0 0 1 0 0
 Node 212:   2 0 0 2 4 0 0 0 0 0 0 0 0 0 1 1
 Node 213:   2 1 0 1 0 0 1 1 0 0 1 0 0 0 0 0
 Node 214:   2 0 0 3 4 0 0 0 0 0 1 0 0 0 1 1
 Node 215:   2 1 0 2 0 0 1 1 0 0 2 0 0 4 0 0
 Node 216:   2 2 0 0 4 0 0 0 0 0 0 0 0 0 1 1
 Node 217:   2 1 0 1 0 0 1 1 0 0 1 0 0 1 0 0
 Node 218:   2 0 0 3 4 0 0 0 0 0 1 0 0 0 1 1
 Node 219:   0 1 0 1 0 0 1 1 0 0 2 0 0 1 0 0
 Node 220:   0 0 0 2 4 0 0 0 2 0 0 0 0 0 1 1
 Node 221:   0 1 0 1 0 0 1 1 2 0 1 0 0 1 0 0
 Node 222:   0 0 0 3 4 0 0 0 2 0 1 0 0 0 1 1
