ID Allocation Policy is 0(low port first) / 1(Crossing Paths based method): 1
Address method is 0(destination_based) / 1(path_based): 1
 dst_based renewable label = 14
 path_based renewable label = 14
 slot_max = 14


 (east, west, south, north, front, back, from host0,... east(vch2), south(vch2), west(vch2), north(vch2), front, back, from host(vch2)0,.. to host(vch2)0,..
 Node 77:   2 0 0 3 4 0 0 1 0 0 0 0 0 1 1 0
 Node 78:   3 0 0 2 2 0 0 0 0 0 0 0 0 0 1 1
 Node 79:   0 0 0 4 2 0 2 1 2 0 0 0 0 2 0 1
 Node 80:   1 0 2 1 4 0 1 2 0 0 0 0 0 1 1 0
 Node 81:   1 2 1 1 2 0 1 1 0 0 0 0 0 2 0 0
 Node 82:   2 3 2 1 2 0 1 0 0 0 0 0 0 3 1 2
 Node 83:   1 3 2 1 4 0 0 1 0 0 0 0 0 0 1 0
 Node 84:   0 3 2 0 0 0 1 1 0 0 0 0 0 3 0 0
 Node 85:   0 3 1 1 2 0 2 0 0 0 0 0 0 1 0 2
 Node 86:   1 2 1 1 0 0 0 1 0 0 0 0 0 2 2 1
 Node 87:   0 1 2 1 2 0 0 1 0 0 0 0 0 3 1 0
 Node 88:   1 1 3 1 1 0 1 2 0 0 0 0 0 3 1 0
 Node 89:   2 1 0 0 1 0 0 1 0 0 0 0 0 1 1 0
 Node 90:   4 1 0 0 0 0 1 0 0 0 0 0 0 3 1 2
 Node 91:   3 1 2 0 3 0 2 0 0 0 0 0 0 0 0 2
 Node 92:   3 0 2 1 0 0 1 2 0 0 0 0 0 3 1 0
 Node 93:   2 0 2 2 3 0 0 1 0 0 0 0 0 0 1 0
 Node 94:   3 0 0 1 2 0 0 0 0 0 0 0 0 0 1 1
 Node 95:   0 0 3 2 1 0 1 1 1 0 0 0 0 1 0 0
 Node 96:   1 0 2 3 3 0 0 0 0 1 0 0 0 2 1 1
 Node 97:   1 2 1 1 1 0 1 1 0 0 0 0 0 0 0 0
 Node 98:   0 1 2 2 1 0 1 1 0 0 0 0 0 3 0 0
 Node 99:   0 0 2 2 3 0 1 1 0 0 0 0 0 1 0 0
 Node 100:   0 0 2 2 2 0 1 1 0 0 0 0 0 5 0 0
 Node 101:   0 0 1 1 1 0 1 1 0 0 0 0 0 1 0 0
 Node 102:   0 0 1 1 1 0 1 1 0 0 0 0 0 1 0 0
 Node 103:   0 0 2 2 5 0 1 1 0 0 0 0 0 3 0 0
 Node 104:   0 0 3 3 2 0 1 1 0 0 0 0 0 5 0 0
 Node 105:   1 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0
 Node 106:   2 0 0 0 1 0 1 1 1 0 0 0 0 2 0 0
 Node 107:   3 0 2 1 4 0 1 1 2 0 0 0 0 0 0 0
 Node 108:   3 0 2 2 3 0 1 1 2 0 0 0 0 4 0 0
 Node 109:   1 0 2 2 3 0 1 1 2 0 0 0 0 2 0 0
 Node 110:   0 0 0 1 1 0 1 1 2 0 0 0 0 1 0 0
 Node 111:   0 0 3 3 6 0 2 1 3 0 0 0 0 3 0 1
 Node 112:   2 0 3 3 2 0 1 2 0 0 0 0 0 2 1 0
 Node 113:   2 2 3 1 1 0 1 1 0 0 0 0 0 2 0 0
 Node 114:   2 3 5 1 1 0 1 0 0 0 0 0 0 3 1 2
 Node 115:   1 4 3 2 4 0 0 1 0 0 0 0 0 0 1 0
 Node 116:   0 4 2 3 0 0 1 1 0 0 0 0 0 4 0 0
 Node 117:   0 5 1 1 2 0 2 0 0 0 0 0 0 1 0 2
 Node 118:   1 3 1 1 0 0 0 1 0 0 0 0 0 2 2 1
 Node 119:   0 2 3 2 2 0 1 1 0 0 0 0 0 3 1 1
 Node 120:   1 1 5 3 1 0 1 2 0 0 0 0 0 3 1 0
 Node 121:   2 1 0 1 1 0 0 1 0 0 0 0 0 1 1 0
 Node 122:   3 1 1 1 0 0 1 0 0 0 0 0 0 3 1 2
 Node 123:   3 1 2 2 3 0 2 0 0 0 0 0 0 0 0 2
 Node 124:   4 0 2 4 0 0 1 2 0 0 0 0 0 4 1 0
 Node 125:   4 1 1 2 4 0 0 1 0 0 0 0 0 1 1 0
 Node 126:   3 1 0 1 3 0 0 0 0 0 0 0 0 1 1 1
 Node 127:   0 1 3 4 2 0 3 1 2 0 0 0 0 2 0 2
 Node 128:   1 0 2 4 3 0 1 2 0 0 0 0 0 2 1 0
 Node 129:   1 2 2 3 2 0 1 1 0 0 0 0 0 2 0 0
 Node 130:   2 3 3 3 2 0 1 0 0 0 0 0 0 3 1 2
 Node 131:   1 3 2 3 4 0 0 1 0 0 0 0 0 0 1 0
 Node 132:   0 3 3 2 0 0 1 1 0 0 0 0 0 3 0 0
 Node 133:   0 4 0 2 2 0 2 0 0 0 0 0 0 1 0 2
 Node 134:   1 3 0 1 0 0 0 1 0 0 0 0 0 2 2 1
 Node 135:   0 2 2 3 2 0 1 1 0 0 0 0 0 3 1 1
 Node 136:   1 1 4 5 1 0 1 2 0 0 0 0 0 3 1 0
 Node 137:   2 1 0 1 1 0 0 1 0 0 0 0 0 1 1 0
 Node 138:   4 1 1 1 0 0 1 0 0 0 0 0 0 3 1 2
 Node 139:   4 1 2 2 3 0 2 0 0 0 0 0 0 0 0 2
 Node 140:   4 0 3 3 0 0 1 2 0 0 0 0 0 3 1 0
 Node 141:   3 1 1 2 3 0 0 1 0 0 0 0 0 0 1 0
 Node 142:   3 1 0 1 2 0 0 0 0 0 0 0 0 0 1 1
 Node 143:   0 1 3 4 1 0 2 1 1 0 0 0 0 1 0 1
 Node 144:   1 0 2 3 4 0 0 0 0 1 0 0 0 3 1 1
 Node 145:   1 3 2 2 1 0 1 1 0 0 0 0 0 0 0 0
 Node 146:   0 2 3 2 1 0 1 1 0 0 0 0 0 3 0 0
 Node 147:   0 1 2 2 3 0 1 1 0 0 0 0 0 0 0 0
 Node 148:   0 0 2 2 2 0 1 1 0 0 0 0 0 5 0 0
 Node 149:   0 0 0 1 1 0 1 1 0 0 0 0 0 1 0 0
 Node 150:   0 0 0 0 1 0 1 1 0 0 0 0 0 1 0 0
 Node 151:   0 0 2 2 5 0 1 1 0 0 0 0 0 2 0 0
 Node 152:   0 0 4 4 2 0 1 1 0 0 0 0 0 6 0 0
 Node 153:   0 0 0 1 0 0 1 1 1 0 0 0 0 0 0 0
 Node 154:   0 0 1 1 0 0 1 1 2 0 0 0 0 2 0 0
 Node 155:   1 0 2 2 4 0 1 1 3 0 0 0 0 0 0 0
 Node 156:   2 0 2 2 2 0 1 1 3 0 0 0 0 4 0 0
 Node 157:   2 0 1 0 3 0 1 1 3 0 0 0 0 2 0 0
 Node 158:   0 0 0 0 2 0 1 1 3 0 0 0 0 1 0 0
 Node 159:   0 0 3 2 7 0 2 1 4 0 0 0 0 2 0 1
 Node 160:   2 0 1 3 1 0 1 2 0 0 0 0 0 1 1 0
 Node 161:   2 2 2 2 1 0 1 1 0 0 0 0 0 1 0 0
 Node 162:   2 3 3 1 1 0 1 0 0 0 0 0 0 4 1 2
 Node 163:   1 3 1 2 4 0 0 1 0 0 0 0 0 1 1 0
 Node 164:   0 4 0 2 0 0 1 1 0 0 0 0 0 3 0 0
 Node 165:   0 4 0 1 2 0 2 0 0 0 0 0 0 0 0 2
 Node 166:   1 3 0 0 0 0 0 1 0 0 0 0 0 2 2 1
 Node 167:   0 2 1 2 2 0 0 1 0 0 0 0 0 2 1 0
 Node 168:   1 1 2 4 1 0 1 2 0 0 0 0 0 1 1 0
