ID Allocation Policy is 0(low port first) / 1(Crossing Paths based method): 1
Address method is 0(destination_based) / 1(path_based): 1
 dst_based renewable label = 16
 path_based renewable label = 16


 (east, west, south, north, front, back, from host0,... east(vch2), south(vch2), west(vch2), north(vch2), front, back, from host(vch2)0,.. to host(vch2)0,..
 Node 216:   2 2 0 2 0 0 0 0 0 0 1 0 0 3 1 1
 Node 217:   1 2 0 0 3 0 1 1 0 0 0 0 0 0 0 0
 Node 218:   1 1 0 2 0 0 0 0 0 0 1 0 0 3 1 1
 Node 219:   0 1 0 0 3 0 1 1 0 0 0 0 0 0 0 0
 Node 220:   1 0 0 2 0 0 0 0 0 0 1 0 0 3 1 1
 Node 221:   0 1 0 0 3 0 1 1 1 0 0 0 0 0 0 0
 Node 222:   1 1 0 0 0 0 0 0 1 0 0 0 0 3 1 1
 Node 223:   0 1 0 0 3 0 1 1 2 0 0 0 0 0 0 0
 Node 224:   2 0 0 2 0 0 0 0 0 1 2 0 0 3 1 1
 Node 225:   1 0 0 0 3 0 1 1 0 1 0 0 0 0 0 0
 Node 226:   2 0 0 2 0 0 0 0 0 0 2 0 0 3 1 1
 Node 227:   1 0 0 0 3 0 1 1 0 1 0 0 0 0 0 0
 Node 228:   2 0 0 2 0 0 0 0 0 0 2 0 0 3 1 1
 Node 229:   2 1 0 0 3 0 1 1 0 0 0 0 0 0 0 0
 Node 230:   2 1 0 4 0 0 0 0 0 0 4 0 0 3 1 1
 Node 231:   2 2 0 0 3 0 1 1 0 0 0 0 0 0 0 0
 Node 232:   2 2 0 2 0 0 0 0 0 0 2 0 0 3 1 1
 Node 233:   1 2 0 0 3 0 1 1 0 0 0 0 0 0 0 0
 Node 234:   1 1 0 2 0 0 0 0 0 0 2 0 0 3 1 1
 Node 235:   0 1 0 0 3 0 1 1 0 0 0 0 0 0 0 0
 Node 236:   1 0 0 2 0 0 0 0 0 0 2 0 0 3 1 1
 Node 237:   0 1 0 0 3 0 1 1 1 0 0 0 0 0 0 0
 Node 238:   1 1 0 0 0 0 0 0 1 0 0 0 0 3 1 1
 Node 239:   0 1 0 0 3 0 1 1 2 0 0 0 0 0 0 0
 Node 240:   2 0 0 2 0 0 0 0 0 1 3 0 0 3 1 1
 Node 241:   1 0 0 0 3 0 1 1 0 1 0 0 0 0 0 0
 Node 242:   2 0 0 2 0 0 0 0 0 0 3 0 0 3 1 1
 Node 243:   1 0 0 0 3 0 1 1 0 1 0 0 0 0 0 0
 Node 244:   2 0 0 2 0 0 0 0 0 0 3 0 0 3 1 1
 Node 245:   2 1 0 0 3 0 1 1 0 0 0 0 0 0 0 0
 Node 246:   2 1 0 4 0 0 0 0 0 0 6 0 0 3 1 1
 Node 247:   2 2 0 0 3 0 1 1 0 0 0 0 0 0 0 0
 Node 248:   2 2 0 2 0 0 0 0 0 0 3 0 0 3 1 1
 Node 249:   1 2 0 0 3 0 1 1 0 0 0 0 0 0 0 0
 Node 250:   1 1 0 2 0 0 0 0 0 0 3 0 0 3 1 1
 Node 251:   0 1 0 0 3 0 1 1 0 0 0 0 0 0 0 0
 Node 252:   1 0 0 2 0 0 0 0 0 0 3 0 0 3 1 1
 Node 253:   0 1 0 0 3 0 1 1 1 0 0 0 0 0 0 0
 Node 254:   1 1 0 0 0 0 0 0 1 0 0 0 0 3 1 1
 Node 255:   0 1 0 0 3 0 1 1 2 0 0 0 0 0 0 0
 Node 256:   1 0 0 0 0 1 0 0 0 0 0 0 0 2 1 1
 Node 257:   0 0 0 0 4 0 1 1 0 0 0 0 0 0 0 0
 Node 258:   1 0 0 0 0 1 0 0 0 0 0 0 0 2 1 1
 Node 259:   0 0 0 0 4 0 1 1 0 0 0 0 0 0 0 0
 Node 260:   1 0 0 0 0 1 0 0 0 0 0 0 0 2 1 1
 Node 261:   0 0 0 0 4 0 1 1 0 0 0 0 0 0 0 0
 Node 262:   1 0 0 0 0 1 0 0 0 0 0 0 0 2 1 1
 Node 263:   0 0 0 0 4 0 1 1 0 0 0 0 0 0 0 0
 Node 264:   1 0 0 0 0 1 0 0 0 0 0 0 0 2 1 1
 Node 265:   0 0 0 0 4 0 1 1 0 0 0 0 0 0 0 0
 Node 266:   1 0 0 0 0 1 0 0 0 0 0 0 0 2 1 1
 Node 267:   0 0 0 0 4 0 1 1 0 0 0 0 0 0 0 0
 Node 268:   1 0 0 0 0 1 0 0 0 0 0 0 0 2 1 1
 Node 269:   0 0 0 0 4 0 1 1 0 0 0 0 0 0 0 0
 Node 270:   1 0 0 0 0 1 0 0 0 0 0 0 0 2 1 1
 Node 271:   0 0 0 0 4 0 1 1 0 0 0 0 0 0 0 0
 Node 272:   1 0 0 0 0 1 0 0 0 0 0 0 0 2 1 1
 Node 273:   0 0 0 0 4 0 1 1 0 0 0 0 0 0 0 0
 Node 274:   1 0 0 0 0 1 0 0 0 0 0 0 0 2 1 1
 Node 275:   0 0 0 0 4 0 1 1 0 0 0 0 0 0 0 0
 Node 276:   1 0 0 0 0 1 0 0 0 0 0 0 0 2 1 1
 Node 277:   0 0 0 0 4 0 1 1 0 0 0 0 0 0 0 0
 Node 278:   1 0 0 0 0 1 0 0 0 0 0 0 0 2 1 1
 Node 279:   0 0 0 0 4 0 1 1 0 0 0 0 0 0 0 0
 Node 280:   1 0 0 0 0 1 0 0 0 0 0 0 0 2 1 1
 Node 281:   0 0 0 0 4 0 1 1 0 0 0 0 0 0 0 0
 Node 282:   1 0 0 0 0 1 0 0 0 0 0 0 0 2 1 1
 Node 283:   0 0 0 0 4 0 1 1 0 0 0 0 0 0 0 0
 Node 284:   1 0 0 0 0 1 0 0 0 0 0 0 0 2 1 1
 Node 285:   0 0 0 0 4 0 1 1 0 0 0 0 0 0 0 0
 Node 286:   1 0 0 0 0 1 0 0 0 0 0 0 0 2 1 1
 Node 287:   0 0 0 0 4 0 1 1 0 0 0 0 0 0 0 0
 Node 288:   1 0 0 0 0 1 0 0 0 0 0 0 0 2 1 1
 Node 289:   0 0 0 0 4 0 1 1 0 0 0 0 0 0 0 0
 Node 290:   1 0 0 0 0 1 0 0 0 0 0 0 0 2 1 1
 Node 291:   0 0 0 0 4 0 1 1 0 0 0 0 0 0 0 0
 Node 292:   1 0 0 0 0 1 0 0 0 0 0 0 0 2 1 1
 Node 293:   0 0 0 0 4 0 1 1 0 0 0 0 0 0 0 0
 Node 294:   1 0 0 0 0 1 0 0 0 0 0 0 0 2 1 1
 Node 295:   0 0 0 0 4 0 1 1 0 0 0 0 0 0 0 0
 Node 296:   1 0 0 0 0 1 0 0 0 0 0 0 0 2 1 1
 Node 297:   0 0 0 0 4 0 1 1 0 0 0 0 0 0 0 0
 Node 298:   1 0 0 0 0 1 0 0 0 0 0 0 0 2 1 1
 Node 299:   0 0 0 0 4 0 1 1 0 0 0 0 0 0 0 0
 Node 300:   1 0 0 0 0 1 0 0 0 0 0 0 0 2 1 1
 Node 301:   0 0 0 0 4 0 1 1 0 0 0 0 0 0 0 0
 Node 302:   1 0 0 0 0 1 0 0 0 0 0 0 0 2 1 1
 Node 303:   0 0 0 0 4 0 1 1 0 0 0 0 0 0 0 0
 Node 304:   1 0 0 0 0 1 0 0 0 0 0 0 0 2 1 1
 Node 305:   0 0 0 0 4 0 1 1 0 0 0 0 0 0 0 0
 Node 306:   1 0 0 0 0 1 0 0 0 0 0 0 0 2 1 1
 Node 307:   0 0 0 0 4 0 1 1 0 0 0 0 0 0 0 0
 Node 308:   1 0 0 0 0 1 0 0 0 0 0 0 0 2 1 1
 Node 309:   0 0 0 0 4 0 1 1 0 0 0 0 0 0 0 0
 Node 310:   1 0 0 0 0 1 0 0 0 0 0 0 0 2 1 1
 Node 311:   0 0 0 0 4 0 1 1 0 0 0 0 0 0 0 0
