ID Allocation Policy is 0(low port first) / 1(Crossing Paths based method): 1
Address method is 0(destination_based) / 1(path_based): 1
 dst_based renewable label = 3
 path_based renewable label = 4


 (east, west, south, north, front, back, out, in, from host0,... east(vch2), south(vch2), west(vch2), north(vch2), front, back, out, in, from host(vch2)0,.. to host(vch2)0,..
 Node 66:   0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0
 Node 67:   1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
 Node 68:   0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 2
 Node 69:   0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1
 Node 70:   0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1
 Node 71:   0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
 Node 72:   1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0
 Node 73:   2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
 Node 74:   1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1
 Node 75:   0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0
 Node 76:   2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2
 Node 77:   0 1 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0
 Node 78:   0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0
 Node 79:   0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0
 Node 80:   0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1
 Node 81:   1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0
 Node 82:   0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 2
 Node 83:   1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
 Node 84:   0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1
 Node 85:   0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1
 Node 86:   0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0
 Node 87:   0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1
 Node 88:   1 0 0 0 0 1 0 0 1 2 0 0 0 0 0 0 0 0 0 0
 Node 89:   1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2
 Node 90:   2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0
 Node 91:   2 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0
 Node 92:   0 0 1 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 2
 Node 93:   0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1
 Node 94:   0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0
 Node 95:   0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1
 Node 96:   0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0
 Node 97:   0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0
 Node 98:   0 0 0 0 1 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0
 Node 99:   1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 2
 Node 100:   0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 2
 Node 101:   0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1
 Node 102:   0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
 Node 103:   0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
 Node 104:   0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0
 Node 105:   0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0
 Node 106:   0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
 Node 107:   0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0
 Node 108:   0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0
 Node 109:   1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1
 Node 110:   0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 1
 Node 111:   0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
 Node 112:   1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0
 Node 113:   0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1
 Node 114:   0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 1
 Node 115:   1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1
 Node 116:   1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1
 Node 117:   1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0
 Node 118:   0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 2
 Node 119:   0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
 Node 120:   1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1
 Node 121:   0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1
 Node 122:   0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
 Node 123:   1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0
 Node 124:   1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1
 Node 125:   0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 1
 Node 126:   0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
 Node 127:   0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0
 Node 128:   2 0 0 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0
 Node 129:   2 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0
 Node 130:   1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1
 Node 131:   0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0
 Node 132:   0 0 0 0 2 0 1 0 1 0 0 0 0 0 0 0 0 0 0 2
 Node 133:   0 1 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0
 Node 134:   0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0
 Node 135:   0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0
 Node 136:   2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1
 Node 137:   2 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1
 Node 138:   0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 1 1
 Node 139:   1 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1
