ID Allocation Policy is 0(low port first) / 1(Crossing Paths based method): 1
Address method is 0(destination_based) / 1(path_based): 1
 dst_based renewable label = 10
 path_based renewable label = 10


 (east, west, south, north, front, back, from host0,... east(vch2), south(vch2), west(vch2), north(vch2), front, back, from host(vch2)0,.. to host(vch2)0,..
 Node 39:   1 2 1 0 0 0 1 1 0 0 0 1 0 3 0 0
 Node 40:   1 2 0 0 3 0 0 0 0 0 0 0 0 1 1 1
 Node 41:   0 2 0 0 0 0 1 1 0 0 0 1 0 3 0 0
 Node 42:   0 1 0 0 3 0 0 0 0 0 0 0 0 1 1 1
 Node 43:   0 1 1 0 0 0 1 1 0 0 0 0 0 3 0 0
 Node 44:   0 0 0 0 3 0 0 0 1 0 0 0 0 1 1 1
 Node 45:   0 1 1 0 0 0 1 1 0 0 0 1 0 3 0 0
 Node 46:   0 0 0 0 1 0 0 0 1 0 0 0 0 1 1 1
 Node 47:   0 1 1 0 0 0 1 1 1 0 0 1 0 3 0 0
 Node 48:   1 0 1 0 3 0 0 0 0 2 0 0 0 0 1 1
 Node 49:   1 1 0 0 0 0 1 1 0 1 0 0 0 0 0 0
 Node 50:   1 0 0 0 3 0 0 0 0 1 0 0 0 0 1 1
 Node 51:   0 1 0 0 0 0 1 1 0 0 0 1 0 4 0 0
 Node 52:   1 0 0 0 3 0 0 0 0 0 0 0 0 0 1 1
 Node 53:   1 1 0 0 0 0 1 1 0 0 0 1 0 4 0 0
 Node 54:   2 1 1 0 5 0 0 0 0 0 0 0 0 0 1 1
 Node 55:   2 2 0 0 0 0 1 1 0 0 0 1 0 4 0 0
 Node 56:   2 2 0 0 3 0 0 0 0 0 0 0 0 0 1 1
 Node 57:   1 2 0 0 0 0 1 1 0 0 0 2 0 4 0 0
 Node 58:   1 2 0 0 3 0 0 0 0 0 0 0 0 0 1 1
 Node 59:   0 2 0 0 0 0 1 1 0 0 0 1 0 4 0 0
 Node 60:   0 1 0 0 3 0 0 0 1 0 0 0 0 0 1 1
 Node 61:   0 2 0 0 0 0 1 1 0 0 0 1 0 4 0 0
 Node 62:   0 1 0 0 1 0 0 0 1 0 0 0 0 0 1 1
 Node 63:   0 2 0 0 0 0 1 1 1 0 0 1 0 4 0 0
 Node 64:   1 0 1 0 3 0 0 0 0 2 0 0 0 1 1 1
 Node 65:   1 1 0 0 0 0 1 1 0 1 0 0 0 0 0 0
 Node 66:   1 0 0 0 3 0 0 0 0 1 0 0 0 0 1 1
 Node 67:   0 1 1 0 0 0 1 1 0 0 0 0 0 3 0 0
 Node 68:   1 0 0 0 3 0 0 0 0 0 0 0 0 0 1 1
 Node 69:   1 1 1 0 0 0 1 1 0 0 0 0 0 3 0 0
 Node 70:   2 1 1 0 5 0 0 0 0 0 0 0 0 1 1 1
 Node 71:   2 2 1 0 0 0 1 1 0 0 0 0 0 3 0 0
 Node 72:   2 2 0 0 3 0 0 0 0 0 0 0 0 0 1 1
 Node 73:   1 2 2 0 0 0 1 1 0 0 0 0 0 4 0 0
