4	3.625000
6	6.562500
11	11.082031
14	22.145508
28	43.589844
3	4.500000
7	7.250000
15	12.625000
31	23.312500
63	44.656250
3	4.500000
7	7.250000
15	12.625000
31	23.312500
63	44.656250
3	2.000000
4	2.906250
3	2.816406
4	3.806641
7	6.093262
2	3.750000
4	5.437500
8	9.234375
16	17.121094
32	33.061523
2	4.500000
4	7.500000
8	13.500000
16	25.500000
32	49.500000
2	5.000000
4	9.000000
8	17.000000
16	33.000000
32	65.000000
2	4.375000
4	6.718750
8	10.867188
16	18.935547
32	34.968262
3	3.250000
4	5.125000
8	8.019531
12	14.426758
17	28.027344
2	3.500000
4	5.250000
9	8.625000
17	15.312500
33	28.656250
2	3.500000
4	5.250000
9	8.625000
18	15.312500
37	28.656250
2	2.000000
3	2.531250
3	2.597656
4	3.228516
6	4.522949
2	3.250000
4	5.187500
8	9.109375
16	17.058594
32	33.030273
2	3.500000
4	5.500000
8	9.500000
16	17.500000
32	33.500000
1	3.000000
4	5.000000
8	9.000000
16	17.000000
32	33.000000
2	3.750000
7	6.031250
15	10.148438
31	18.201172
63	34.226074
