ID Allocation Policy is 0(low port first) / 1(Crossing Paths based method): 1
Address method is 0(destination_based) / 1(path_based): 1
 dst_based renewable label = 11
 path_based renewable label = 12


 (east, west, south, north, from host0,... east(vch2), south(vch2), west(vch2), north(vch2), from host(vch2)0,.. to host(vch2)0,..
 Node  0:   3 0 0 0 0 0 0 3 0 3 1 0
 Node  1:   4 0 1 0 0 0 0 2 0 2 1 0
 Node  2:   4 1 2 0 1 0 0 2 0 2 0 0
 Node  3:   5 1 2 0 0 0 0 1 0 2 1 1
 Node  4:   4 1 3 0 0 0 0 2 0 0 1 0
 Node  5:   3 1 3 0 0 0 0 1 0 4 1 0
 Node  6:   4 1 3 0 0 0 0 0 0 3 1 0
 Node  7:   4 1 4 0 1 1 0 2 0 2 0 0
 Node  8:   5 1 3 0 0 0 0 2 0 1 1 0
 Node  9:   5 2 0 0 1 1 0 2 0 2 0 0
 Node 10:   4 2 3 0 1 0 0 1 0 0 0 0
 Node 11:   5 2 4 0 1 0 0 0 0 5 0 0
 Node 12:   5 3 1 0 1 0 0 0 0 4 0 1
 Node 13:   4 4 4 0 1 0 0 0 0 1 0 0
 Node 14:   3 4 2 0 1 1 0 0 0 3 0 0
 Node 15:   4 4 2 0 0 0 0 0 0 1 1 1
 Node 16:   4 4 3 0 1 1 0 0 0 3 0 0
 Node 17:   4 5 2 0 0 3 0 0 0 4 1 0
 Node 18:   5 4 0 0 1 0 0 0 0 4 0 1
 Node 19:   5 5 5 0 0 0 0 0 0 3 1 0
 Node 20:   5 6 3 0 1 0 0 0 0 2 0 0
 Node 21:   5 6 2 0 0 0 0 0 0 1 1 0
 Node 22:   6 6 2 0 1 1 0 0 0 0 0 0
 Node 23:   6 6 1 0 1 0 0 0 0 1 0 0
 Node 24:   3 5 0 0 0 1 0 0 0 5 1 1
 Node 25:   2 5 3 0 0 1 0 0 0 1 1 0
 Node 26:   2 4 3 0 1 0 1 0 0 0 0 1
 Node 27:   1 4 5 0 1 1 1 0 0 1 0 0
 Node 28:   1 3 1 0 1 0 1 0 0 0 0 1
 Node 29:   1 2 4 0 0 0 2 0 0 3 1 1
