ID Allocation Policy is 0(low port first) / 1(Crossing Paths based method): 1
Address method is 0(destination_based) / 1(path_based): 1
 dst_based renewable label = 16
 path_based renewable label = 16


 (east, west, south, north, from host0,... east(vch2), south(vch2), west(vch2), north(vch2), from host(vch2)0,.. to host(vch2)0,..
 Node 98:   4 0 4 0 0 0 0 4 0 3 1 1
 Node 99:   4 0 4 0 1 1 0 3 0 3 0 0
 Node 100:   4 0 0 0 0 0 0 3 0 0 1 1
 Node 101:   3 0 4 0 1 1 0 2 0 3 0 0
 Node 102:   3 0 4 0 0 0 0 1 0 3 1 1
 Node 103:   3 0 0 0 1 1 0 1 0 0 0 0
 Node 104:   3 0 8 0 0 0 0 0 0 6 1 1
 Node 105:   4 1 4 0 1 1 0 0 0 3 0 0
 Node 106:   5 2 4 0 0 0 0 0 0 3 1 1
 Node 107:   5 3 8 0 1 1 0 0 0 6 0 0
 Node 108:   6 4 4 0 0 0 0 0 0 3 1 1
 Node 109:   7 5 4 0 1 1 0 0 0 3 0 0
 Node 110:   7 6 8 0 0 0 0 0 0 6 1 1
 Node 111:   8 7 4 0 1 1 0 0 0 3 0 0
 Node 112:   7 8 4 0 0 0 0 0 0 3 1 1
 Node 113:   6 7 8 0 1 1 0 0 0 6 0 0
 Node 114:   5 7 4 0 0 0 0 0 0 3 1 1
 Node 115:   4 6 4 0 1 1 0 0 0 3 0 0
 Node 116:   3 5 8 0 0 0 0 0 0 6 1 1
 Node 117:   2 5 4 0 1 1 0 0 0 3 0 0
 Node 118:   1 4 4 0 0 0 0 0 0 3 1 1
 Node 119:   0 3 8 0 1 1 0 0 0 6 0 0
 Node 120:   0 3 0 0 0 0 1 0 0 0 1 1
 Node 121:   0 3 4 0 1 1 1 0 0 3 0 0
 Node 122:   0 3 4 0 0 0 2 0 0 3 1 1
 Node 123:   0 4 0 0 1 1 3 0 0 0 0 0
 Node 124:   0 4 4 0 0 0 3 0 0 3 1 1
 Node 125:   0 4 4 0 1 1 4 0 0 3 0 0
 Node 126:   0 5 0 0 0 0 5 0 0 0 1 1
 Node 127:   0 5 4 0 1 1 5 0 0 3 0 0
 Node 128:   5 0 4 0 0 0 0 5 0 3 1 1
 Node 129:   5 0 0 0 1 1 0 5 0 0 0 0
 Node 130:   4 0 4 0 0 0 0 4 0 3 1 1
 Node 131:   4 0 4 0 1 1 0 3 0 3 0 0
 Node 132:   4 0 0 0 0 0 0 3 0 0 1 1
