138.75	356.25
246.875	903.125
432.461	2648.87
794.365	6552.2
1577.7	25116.2
155	335
277.5	1147.5
518.75	4053.75
999.375	14986.9
1959.69	57333.4
155	335
277.5	1147.5
518.75	4053.75
999.375	14986.9
1959.69	57333.4
80	160
117.188	291.562
104.492	217.148
144.199	372.598
242.798	973.989
122.5	197.5
193.125	519.375
347.031	1639.84
663.633	5799.96
1301.85	21800
145	235
255	705
475	2365
915	8565
1795	32485
160	260
300	840
580	2960
1140	11040
2260	42560
141.25	228.75
231.562	634.688
396.016	1917.42
718.066	6398.73
1359.05	23039.4
117.5	247.5
183.75	491.25
310.586	1433.32
542.803	3716.69
1000.82	9969.57
115	185
187.5	502.5
338.75	1718.75
619.375	5519.38
1179.69	19519.7
115	185
187.5	502.5
338.75	1718.75
629.375	5835.62
1219.69	21852.2
70	110
95.9375	197.188
97.9297	201.836
126.855	320.566
185.688	637.983
107.5	172.5
185.625	496.875
343.281	1618.59
661.758	5779.34
1300.91	21779.7
115	185
195	525
355	1685
675	5925
1315	22085
90	90
180	480
340	1600
660	5760
1300	21760
122.5	197.5
240.938	964.688
444.453	3286.02
846.035	11766.7
1646.78	44087.1
