ID Allocation Policy is 0(low port first) / 1(Crossing Paths based method): 1
Address method is 0(destination_based) / 1(path_based): 1
 dst_based renewable label = 8
 path_based renewable label = 8


 (east, west, south, north, from host0,... east(vch2), south(vch2), west(vch2), north(vch2), from host(vch2)0,.. to host(vch2)0,..
 Node 98:   1 0 7 2 0 0 0 1 0 0 1 1
 Node 99:   0 1 3 6 1 1 0 0 0 0 0 0
 Node 100:   1 0 7 2 0 0 0 0 0 0 1 1
 Node 101:   1 1 3 6 1 1 0 0 0 0 0 0
 Node 102:   2 1 7 4 0 0 0 0 0 0 1 1
 Node 103:   2 2 3 6 1 1 0 0 0 0 0 0
 Node 104:   2 2 7 2 0 0 0 0 0 0 1 1
 Node 105:   1 2 6 6 1 1 0 0 0 0 0 0
 Node 106:   1 2 7 2 0 0 0 0 0 0 1 1
 Node 107:   0 2 3 6 1 1 0 0 0 0 0 0
 Node 108:   0 1 7 2 0 0 1 0 0 0 1 1
 Node 109:   0 2 3 6 1 1 0 0 0 0 0 0
 Node 110:   0 1 7 0 0 0 1 0 0 0 1 1
 Node 111:   0 2 3 6 1 1 1 0 0 0 0 0
 Node 112:   1 0 8 3 0 0 0 2 0 0 1 1
 Node 113:   1 1 0 7 1 1 0 1 0 0 0 0
 Node 114:   1 0 8 3 0 0 0 1 0 0 1 1
 Node 115:   0 1 4 7 1 1 0 0 0 0 0 0
 Node 116:   1 0 8 3 0 0 0 0 0 0 1 1
 Node 117:   1 1 4 7 1 1 0 0 0 0 0 0
 Node 118:   2 1 8 6 0 0 0 0 0 0 1 1
 Node 119:   2 2 4 7 1 1 0 0 0 0 0 0
 Node 120:   2 2 8 3 0 0 0 0 0 0 1 1
 Node 121:   1 2 8 7 1 1 0 0 0 0 0 0
 Node 122:   1 2 8 3 0 0 0 0 0 0 1 1
 Node 123:   0 2 4 7 1 1 0 0 0 0 0 0
 Node 124:   0 1 8 3 0 0 1 0 0 0 1 1
 Node 125:   0 2 4 7 1 1 0 0 0 0 0 0
 Node 126:   0 1 8 0 0 0 1 0 0 0 1 1
 Node 127:   0 2 4 7 1 1 1 0 0 0 0 0
 Node 128:   2 0 7 4 0 0 0 1 0 0 1 1
 Node 129:   1 0 0 8 1 1 0 1 0 0 0 0
 Node 130:   2 0 7 4 0 0 0 0 0 0 1 1
 Node 131:   1 0 3 8 1 1 0 1 0 0 0 0
 Node 132:   2 0 7 4 0 0 0 0 0 0 1 1
 Node 133:   2 1 3 8 1 1 0 0 0 0 0 0
 Node 134:   2 1 7 8 0 0 0 0 0 0 1 1
 Node 135:   2 2 3 8 1 1 0 0 0 0 0 0
 Node 136:   2 2 7 4 0 0 0 0 0 0 1 1
 Node 137:   1 2 6 8 1 1 0 0 0 0 0 0
 Node 138:   1 1 7 4 0 0 0 0 0 0 1 1
 Node 139:   0 1 3 8 1 1 0 0 0 0 0 0
 Node 140:   1 0 7 4 0 0 0 0 0 0 1 1
 Node 141:   0 1 3 8 1 1 1 0 0 0 0 0
 Node 142:   1 1 7 0 0 0 1 0 0 0 1 1
 Node 143:   0 1 3 8 1 1 2 0 0 0 0 0
 Node 144:   2 0 6 3 0 0 0 1 0 0 1 1
 Node 145:   1 0 0 7 1 1 0 1 0 0 0 0
 Node 146:   2 0 6 3 0 0 0 0 0 0 1 1
 Node 147:   1 0 2 7 1 1 0 1 0 0 0 0
 Node 148:   2 0 6 3 0 0 0 0 0 0 1 1
