ID Allocation Policy is 0(low port first) / 1(Crossing Paths based method): 1
Address method is 0(destination_based) / 1(path_based): 1
 dst_based renewable label = 176
 path_based renewable label = 576


 (east, west, south, north, from host0,... east(vch2), south(vch2), west(vch2), north(vch2), from host(vch2)0,.. to host(vch2)0,..
 Node 98:   432 240 560 528 127 127 0 144 0 16 128 128
 Node 99:   480 336 560 528 128 128 0 96 0 16 127 127
 Node 100:   512 416 560 528 127 127 0 64 0 16 128 128
 Node 101:   544 480 560 528 128 128 0 32 0 16 127 127
 Node 102:   560 528 560 528 127 127 0 16 0 16 128 128
 Node 103:   576 560 560 528 128 128 0 0 0 16 127 127
 Node 104:   560 576 560 528 127 127 0 0 0 16 128 128
 Node 105:   528 560 560 528 128 128 16 0 0 16 127 127
 Node 106:   480 544 560 528 127 127 32 0 0 16 128 128
 Node 107:   416 512 560 528 128 128 64 0 0 16 127 127
 Node 108:   336 480 560 528 127 127 96 0 0 16 128 128
 Node 109:   240 432 560 528 128 128 144 0 0 16 127 127
 Node 110:   128 384 560 528 127 127 192 0 0 16 128 128
 Node 111:   0 320 560 528 128 128 256 0 0 16 127 127
 Node 112:   320 0 576 560 127 127 0 256 0 0 128 128
 Node 113:   384 128 576 560 128 128 0 192 0 0 127 127
 Node 114:   432 240 576 560 127 127 0 144 0 0 128 128
 Node 115:   480 336 576 560 128 128 0 96 0 0 127 127
 Node 116:   512 416 576 560 127 127 0 64 0 0 128 128
 Node 117:   544 480 576 560 128 128 0 32 0 0 127 127
 Node 118:   560 528 576 560 127 127 0 16 0 0 128 128
 Node 119:   576 560 576 560 128 128 0 0 0 0 127 127
 Node 120:   560 576 576 560 127 127 0 0 0 0 128 128
 Node 121:   528 560 576 560 128 128 16 0 0 0 127 127
 Node 122:   480 544 576 560 127 127 32 0 0 0 128 128
 Node 123:   416 512 576 560 128 128 64 0 0 0 127 127
 Node 124:   336 480 576 560 127 127 96 0 0 0 128 128
 Node 125:   240 432 576 560 128 128 144 0 0 0 127 127
 Node 126:   128 384 576 560 127 127 192 0 0 0 128 128
 Node 127:   0 320 576 560 128 128 256 0 0 0 127 127
 Node 128:   320 0 560 576 127 127 0 256 0 0 128 128
 Node 129:   384 128 560 576 128 128 0 192 0 0 127 127
 Node 130:   432 240 560 576 127 127 0 144 0 0 128 128
 Node 131:   480 336 560 576 128 128 0 96 0 0 127 127
 Node 132:   512 416 560 576 127 127 0 64 0 0 128 128
 Node 133:   544 480 560 576 128 128 0 32 0 0 127 127
 Node 134:   560 528 560 576 127 127 0 16 0 0 128 128
 Node 135:   576 560 560 576 128 128 0 0 0 0 127 127
 Node 136:   560 576 560 576 127 127 0 0 0 0 128 128
 Node 137:   528 560 560 576 128 128 16 0 0 0 127 127
 Node 138:   480 544 560 576 127 127 32 0 0 0 128 128
 Node 139:   416 512 560 576 128 128 64 0 0 0 127 127
 Node 140:   336 480 560 576 127 127 96 0 0 0 128 128
 Node 141:   240 432 560 576 128 128 144 0 0 0 127 127
 Node 142:   128 384 560 576 127 127 192 0 0 0 128 128
 Node 143:   0 320 560 576 128 128 256 0 0 0 127 127
 Node 144:   320 0 528 560 127 127 0 256 16 0 128 128
 Node 145:   384 128 528 560 128 128 0 192 16 0 127 127
 Node 146:   432 240 528 560 127 127 0 144 16 0 128 128
 Node 147:   480 336 528 560 128 128 0 96 16 0 127 127
 Node 148:   512 416 528 560 127 127 0 64 16 0 128 128
 Node 149:   544 480 528 560 128 128 0 32 16 0 127 127
 Node 150:   560 528 528 560 127 127 0 16 16 0 128 128
 Node 151:   576 560 528 560 128 128 0 0 16 0 127 127
 Node 152:   560 576 528 560 127 127 0 0 16 0 128 128
 Node 153:   528 560 528 560 128 128 16 0 16 0 127 127
 Node 154:   480 544 528 560 127 127 32 0 16 0 128 128
 Node 155:   416 512 528 560 128 128 64 0 16 0 127 127
 Node 156:   336 480 528 560 127 127 96 0 16 0 128 128
 Node 157:   240 432 528 560 128 128 144 0 16 0 127 127
 Node 158:   128 384 528 560 127 127 192 0 16 0 128 128
 Node 159:   0 320 528 560 128 128 256 0 16 0 127 127
 Node 160:   320 0 480 544 127 127 0 256 32 0 128 128
 Node 161:   384 128 480 544 128 128 0 192 32 0 127 127
 Node 162:   432 240 480 544 127 127 0 144 32 0 128 128
 Node 163:   480 336 480 544 128 128 0 96 32 0 127 127
 Node 164:   512 416 480 544 127 127 0 64 32 0 128 128
 Node 165:   544 480 480 544 128 128 0 32 32 0 127 127
 Node 166:   560 528 480 544 127 127 0 16 32 0 128 128
 Node 167:   576 560 480 544 128 128 0 0 32 0 127 127
 Node 168:   560 576 480 544 127 127 0 0 32 0 128 128
 Node 169:   528 560 480 544 128 128 16 0 32 0 127 127
 Node 170:   480 544 480 544 127 127 32 0 32 0 128 128
 Node 171:   416 512 480 544 128 128 64 0 32 0 127 127
 Node 172:   336 480 480 544 127 127 96 0 32 0 128 128
 Node 173:   240 432 480 544 128 128 144 0 32 0 127 127
 Node 174:   128 384 480 544 127 127 192 0 32 0 128 128
 Node 175:   0 320 480 544 128 128 256 0 32 0 127 127
 Node 176:   320 0 416 512 127 127 0 256 64 0 128 128
 Node 177:   384 128 416 512 128 128 0 192 64 0 127 127
 Node 178:   432 240 416 512 127 127 0 144 64 0 128 128
 Node 179:   480 336 416 512 128 128 0 96 64 0 127 127
 Node 180:   512 416 416 512 127 127 0 64 64 0 128 128
 Node 181:   544 480 416 512 128 128 0 32 64 0 127 127
 Node 182:   560 528 416 512 127 127 0 16 64 0 128 128
 Node 183:   576 560 416 512 128 128 0 0 64 0 127 127
 Node 184:   560 576 416 512 127 127 0 0 64 0 128 128
 Node 185:   528 560 416 512 128 128 16 0 64 0 127 127
 Node 186:   480 544 416 512 127 127 32 0 64 0 128 128
 Node 187:   416 512 416 512 128 128 64 0 64 0 127 127
 Node 188:   336 480 416 512 127 127 96 0 64 0 128 128
 Node 189:   240 432 416 512 128 128 144 0 64 0 127 127
 Node 190:   128 384 416 512 127 127 192 0 64 0 128 128
 Node 191:   0 320 416 512 128 128 256 0 64 0 127 127
 Node 192:   320 0 336 480 127 127 0 256 96 0 128 128
 Node 193:   384 128 336 480 128 128 0 192 96 0 127 127
 Node 194:   432 240 336 480 127 127 0 144 96 0 128 128
 Node 195:   480 336 336 480 128 128 0 96 96 0 127 127
 Node 196:   512 416 336 480 127 127 0 64 96 0 128 128
 Node 197:   544 480 336 480 128 128 0 32 96 0 127 127
 Node 198:   560 528 336 480 127 127 0 16 96 0 128 128
 Node 199:   576 560 336 480 128 128 0 0 96 0 127 127
