ID Allocation Policy is 0(low port first) / 1(Crossing Paths based method): 1
Address method is 0(destination_based) / 1(path_based): 1
 dst_based renewable label = 40
 path_based renewable label = 80


 (east, west, south, north, from host0,... east(vch2), south(vch2), west(vch2), north(vch2), from host(vch2)0,.. to host(vch2)0,..
 Node  0:   48 0 48 0 31 31 0 32 0 32 32 32
 Node  1:   64 32 48 0 32 32 0 16 0 32 31 31
 Node  2:   72 56 48 0 31 31 0 8 0 32 32 32
 Node  3:   80 72 48 0 32 32 0 0 0 32 31 31
 Node  4:   72 80 48 0 31 31 0 0 0 32 32 32
 Node  5:   56 72 48 0 32 32 8 0 0 32 31 31
 Node  6:   32 64 48 0 31 31 16 0 0 32 32 32
 Node  7:   0 48 48 0 32 32 32 0 0 32 31 31
 Node  8:   48 0 64 32 31 31 0 32 0 16 32 32
 Node  9:   64 32 64 32 32 32 0 16 0 16 31 31
 Node 10:   72 56 64 32 31 31 0 8 0 16 32 32
 Node 11:   80 72 64 32 32 32 0 0 0 16 31 31
 Node 12:   72 80 64 32 31 31 0 0 0 16 32 32
 Node 13:   56 72 64 32 32 32 8 0 0 16 31 31
 Node 14:   32 64 64 32 31 31 16 0 0 16 32 32
 Node 15:   0 48 64 32 32 32 32 0 0 16 31 31
 Node 16:   48 0 72 56 31 31 0 32 0 8 32 32
 Node 17:   64 32 72 56 32 32 0 16 0 8 31 31
 Node 18:   72 56 72 56 31 31 0 8 0 8 32 32
 Node 19:   80 72 72 56 32 32 0 0 0 8 31 31
 Node 20:   72 80 72 56 31 31 0 0 0 8 32 32
 Node 21:   56 72 72 56 32 32 8 0 0 8 31 31
 Node 22:   32 64 72 56 31 31 16 0 0 8 32 32
 Node 23:   0 48 72 56 32 32 32 0 0 8 31 31
 Node 24:   48 0 80 72 31 31 0 32 0 0 32 32
 Node 25:   64 32 80 72 32 32 0 16 0 0 31 31
 Node 26:   72 56 80 72 31 31 0 8 0 0 32 32
 Node 27:   80 72 80 72 32 32 0 0 0 0 31 31
 Node 28:   72 80 80 72 31 31 0 0 0 0 32 32
 Node 29:   56 72 80 72 32 32 8 0 0 0 31 31
 Node 30:   32 64 80 72 31 31 16 0 0 0 32 32
 Node 31:   0 48 80 72 32 32 32 0 0 0 31 31
 Node 32:   48 0 72 80 31 31 0 32 0 0 32 32
 Node 33:   64 32 72 80 32 32 0 16 0 0 31 31
 Node 34:   72 56 72 80 31 31 0 8 0 0 32 32
 Node 35:   80 72 72 80 32 32 0 0 0 0 31 31
 Node 36:   72 80 72 80 31 31 0 0 0 0 32 32
 Node 37:   56 72 72 80 32 32 8 0 0 0 31 31
 Node 38:   32 64 72 80 31 31 16 0 0 0 32 32
 Node 39:   0 48 72 80 32 32 32 0 0 0 31 31
 Node 40:   48 0 56 72 31 31 0 32 8 0 32 32
 Node 41:   64 32 56 72 32 32 0 16 8 0 31 31
 Node 42:   72 56 56 72 31 31 0 8 8 0 32 32
 Node 43:   80 72 56 72 32 32 0 0 8 0 31 31
 Node 44:   72 80 56 72 31 31 0 0 8 0 32 32
 Node 45:   56 72 56 72 32 32 8 0 8 0 31 31
 Node 46:   32 64 56 72 31 31 16 0 8 0 32 32
 Node 47:   0 48 56 72 32 32 32 0 8 0 31 31
 Node 48:   48 0 32 64 31 31 0 32 16 0 32 32
 Node 49:   64 32 32 64 32 32 0 16 16 0 31 31
 Node 50:   72 56 32 64 31 31 0 8 16 0 32 32
 Node 51:   80 72 32 64 32 32 0 0 16 0 31 31
 Node 52:   72 80 32 64 31 31 0 0 16 0 32 32
 Node 53:   56 72 32 64 32 32 8 0 16 0 31 31
 Node 54:   32 64 32 64 31 31 16 0 16 0 32 32
 Node 55:   0 48 32 64 32 32 32 0 16 0 31 31
 Node 56:   48 0 0 48 31 31 0 32 32 0 32 32
 Node 57:   64 32 0 48 32 32 0 16 32 0 31 31
 Node 58:   72 56 0 48 31 31 0 8 32 0 32 32
 Node 59:   80 72 0 48 32 32 0 0 32 0 31 31
 Node 60:   72 80 0 48 31 31 0 0 32 0 32 32
 Node 61:   56 72 0 48 32 32 8 0 32 0 31 31
 Node 62:   32 64 0 48 31 31 16 0 32 0 32 32
 Node 63:   0 48 0 48 32 32 32 0 32 0 31 31

(Maximum) Crossing Paths: 80
The number of paths on this application : 4032 (all-to-all cases: 4032)
The average hops : 4.809524
ID size(without ID modification)97
(Maximum) number of slots: 80
