ID Allocation Policy is 0(low port first) / 1(Crossing Paths based method): 1
Address method is 0(destination_based) / 1(path_based): 1
 dst_based renewable label = 32
 path_based renewable label = 32


 (east, west, south, north, from host0,... east(vch2), south(vch2), west(vch2), north(vch2), from host(vch2)0,.. to host(vch2)0,..
 Node  0:   5 0 11 0 0 0 0 6 0 0 1 1
 Node  1:   5 1 0 0 1 1 0 5 0 0 0 0
 Node  2:   5 0 11 0 0 0 0 5 0 0 1 1
 Node  3:   4 1 0 0 1 1 0 4 0 11 0 0
 Node  4:   4 0 1 0 0 0 0 4 0 0 1 1
 Node  5:   4 1 0 0 1 1 0 3 0 11 0 0
 Node  6:   4 0 11 0 0 0 0 4 0 0 1 1
 Node  7:   4 1 0 0 1 1 0 3 0 0 0 0
 Node  8:   4 0 11 0 0 0 0 3 0 0 1 1
 Node  9:   3 1 0 0 1 1 0 2 0 11 0 0
 Node 10:   3 0 1 0 0 0 0 2 0 0 1 1
 Node 11:   3 1 0 0 1 1 0 1 0 11 0 0
 Node 12:   3 0 11 0 0 0 0 2 0 0 1 1
 Node 13:   3 1 0 0 1 1 0 1 0 0 0 0
 Node 14:   3 0 11 0 0 0 0 1 0 0 1 1
 Node 15:   2 1 0 0 1 1 0 0 0 11 0 0
 Node 16:   3 0 11 0 0 0 0 0 0 0 1 1
 Node 17:   3 1 0 0 1 1 0 0 0 11 0 0
 Node 18:   4 1 21 0 0 0 0 0 0 0 1 1
 Node 19:   4 2 0 0 1 1 0 0 0 11 0 0
 Node 20:   5 2 11 0 0 0 0 0 0 0 1 1
 Node 21:   4 3 0 0 1 1 0 0 0 22 0 0
 Node 22:   5 3 11 0 0 0 0 0 0 0 1 1
 Node 23:   5 4 0 0 1 1 0 0 0 11 0 0
 Node 24:   6 4 21 0 0 0 0 0 0 0 1 1
 Node 25:   6 5 0 0 1 1 0 0 0 11 0 0
 Node 26:   7 5 11 0 0 0 0 0 0 0 1 1
 Node 27:   6 6 0 0 1 1 0 0 0 22 0 0
 Node 28:   7 6 11 0 0 0 0 0 0 0 1 1
 Node 29:   7 7 0 0 1 1 0 0 0 11 0 0
 Node 30:   8 7 21 0 0 0 0 0 0 0 1 1
 Node 31:   8 8 0 0 1 1 0 0 0 11 0 0
 Node 32:   8 8 11 0 0 0 0 0 0 0 1 1
 Node 33:   7 8 0 0 1 1 0 0 0 22 0 0
 Node 34:   7 8 11 0 0 0 0 0 0 0 1 1
 Node 35:   6 8 0 0 1 1 0 0 0 11 0 0
 Node 36:   6 7 21 0 0 0 0 0 0 0 1 1
 Node 37:   5 7 0 0 1 1 0 0 0 11 0 0
 Node 38:   5 6 11 0 0 0 0 0 0 0 1 1
 Node 39:   4 6 0 0 1 1 0 0 0 22 0 0
 Node 40:   4 6 11 0 0 0 0 0 0 0 1 1
 Node 41:   3 6 0 0 1 1 0 0 0 11 0 0
 Node 42:   3 5 21 0 0 0 0 0 0 0 1 1
 Node 43:   2 5 0 0 1 1 0 0 0 11 0 0
 Node 44:   2 4 11 0 0 0 0 0 0 0 1 1
 Node 45:   1 4 0 0 1 1 0 0 0 22 0 0
 Node 46:   1 4 11 0 0 0 0 0 0 0 1 1
 Node 47:   0 4 0 0 1 1 0 0 0 11 0 0
 Node 48:   0 3 11 0 0 0 1 0 0 0 1 1
 Node 49:   0 4 0 0 1 1 0 0 0 11 0 0
 Node 50:   0 3 1 0 0 0 1 0 0 0 1 1
 Node 51:   0 4 0 0 1 1 1 0 0 11 0 0
 Node 52:   0 4 11 0 0 0 2 0 0 0 1 1
 Node 53:   0 5 0 0 1 1 2 0 0 0 0 0
 Node 54:   0 4 11 0 0 0 3 0 0 0 1 1
 Node 55:   0 5 0 0 1 1 2 0 0 11 0 0
 Node 56:   0 4 1 0 0 0 3 0 0 0 1 1
 Node 57:   0 5 0 0 1 1 3 0 0 11 0 0
 Node 58:   0 5 11 0 0 0 4 0 0 0 1 1
 Node 59:   0 6 0 0 1 1 4 0 0 0 0 0
 Node 60:   0 5 11 0 0 0 5 0 0 0 1 1
 Node 61:   0 6 0 0 1 1 4 0 0 11 0 0
 Node 62:   0 5 1 0 0 0 5 0 0 0 1 1
 Node 63:   0 6 0 0 1 1 5 0 0 11 0 0
 Node 64:   5 0 12 0 0 0 0 6 0 0 1 1
 Node 65:   5 1 0 1 1 1 0 5 0 0 0 0
 Node 66:   5 0 12 0 0 0 0 5 0 0 1 1
 Node 67:   4 1 0 1 1 1 0 4 0 10 0 0
 Node 68:   4 0 2 0 0 0 0 4 0 0 1 1
 Node 69:   4 1 0 1 1 1 0 3 0 10 0 0
 Node 70:   4 0 12 0 0 0 0 4 0 0 1 1
 Node 71:   4 1 0 1 1 1 0 3 0 0 0 0
 Node 72:   4 0 12 0 0 0 0 3 0 0 1 1
 Node 73:   3 1 0 1 1 1 0 2 0 10 0 0
 Node 74:   3 0 2 0 0 0 0 2 0 0 1 1
 Node 75:   3 1 0 1 1 1 0 1 0 10 0 0
 Node 76:   3 0 12 0 0 0 0 2 0 0 1 1
 Node 77:   3 1 0 1 1 1 0 1 0 0 0 0
 Node 78:   3 0 12 0 0 0 0 1 0 0 1 1
 Node 79:   2 1 0 1 1 1 0 0 0 10 0 0
 Node 80:   3 0 12 0 0 0 0 0 0 0 1 1
 Node 81:   3 1 0 1 1 1 0 0 0 10 0 0
 Node 82:   4 1 22 0 0 0 0 0 0 0 1 1
 Node 83:   4 2 0 1 1 1 0 0 0 10 0 0
 Node 84:   5 2 12 0 0 0 0 0 0 0 1 1
 Node 85:   4 3 0 1 1 1 0 0 0 20 0 0
 Node 86:   5 3 12 0 0 0 0 0 0 0 1 1
 Node 87:   5 4 0 1 1 1 0 0 0 10 0 0
 Node 88:   6 4 22 0 0 0 0 0 0 0 1 1
 Node 89:   6 5 0 1 1 1 0 0 0 10 0 0
 Node 90:   7 5 12 0 0 0 0 0 0 0 1 1
 Node 91:   6 6 0 1 1 1 0 0 0 20 0 0
 Node 92:   7 6 12 0 0 0 0 0 0 0 1 1
 Node 93:   7 7 0 1 1 1 0 0 0 10 0 0
 Node 94:   8 7 22 0 0 0 0 0 0 0 1 1
 Node 95:   8 8 0 1 1 1 0 0 0 10 0 0
 Node 96:   8 8 12 0 0 0 0 0 0 0 1 1
 Node 97:   7 8 0 1 1 1 0 0 0 20 0 0
 Node 98:   7 8 12 0 0 0 0 0 0 0 1 1
 Node 99:   6 8 0 1 1 1 0 0 0 10 0 0
 Node 100:   6 7 22 0 0 0 0 0 0 0 1 1
 Node 101:   5 7 0 1 1 1 0 0 0 10 0 0
 Node 102:   5 6 12 0 0 0 0 0 0 0 1 1
 Node 103:   4 6 0 1 1 1 0 0 0 20 0 0
 Node 104:   4 6 12 0 0 0 0 0 0 0 1 1
 Node 105:   3 6 0 1 1 1 0 0 0 10 0 0
 Node 106:   3 5 22 0 0 0 0 0 0 0 1 1
 Node 107:   2 5 0 1 1 1 0 0 0 10 0 0
 Node 108:   2 4 12 0 0 0 0 0 0 0 1 1
 Node 109:   1 4 0 1 1 1 0 0 0 20 0 0
 Node 110:   1 4 12 0 0 0 0 0 0 0 1 1
 Node 111:   0 4 0 1 1 1 0 0 0 10 0 0
 Node 112:   0 3 12 0 0 0 1 0 0 0 1 1
 Node 113:   0 4 0 1 1 1 0 0 0 10 0 0
 Node 114:   0 3 2 0 0 0 1 0 0 0 1 1
 Node 115:   0 4 0 1 1 1 1 0 0 10 0 0
 Node 116:   0 4 12 0 0 0 2 0 0 0 1 1
 Node 117:   0 5 0 1 1 1 2 0 0 0 0 0
 Node 118:   0 4 12 0 0 0 3 0 0 0 1 1
 Node 119:   0 5 0 1 1 1 2 0 0 10 0 0
 Node 120:   0 4 2 0 0 0 3 0 0 0 1 1
 Node 121:   0 5 0 1 1 1 3 0 0 10 0 0
 Node 122:   0 5 12 0 0 0 4 0 0 0 1 1
 Node 123:   0 6 0 1 1 1 4 0 0 0 0 0
 Node 124:   0 5 12 0 0 0 5 0 0 0 1 1
 Node 125:   0 6 0 1 1 1 4 0 0 10 0 0
 Node 126:   0 5 2 0 0 0 5 0 0 0 1 1
 Node 127:   0 6 0 1 1 1 5 0 0 10 0 0
 Node 128:   5 0 13 0 0 0 0 6 0 0 1 1
 Node 129:   5 1 0 2 1 1 0 5 0 0 0 0
 Node 130:   5 0 13 0 0 0 0 5 0 0 1 1
 Node 131:   4 1 0 2 1 1 0 4 0 9 0 0
 Node 132:   4 0 3 0 0 0 0 4 0 0 1 1
 Node 133:   4 1 0 2 1 1 0 3 0 9 0 0
 Node 134:   4 0 13 0 0 0 0 4 0 0 1 1
 Node 135:   4 1 0 2 1 1 0 3 0 0 0 0
 Node 136:   4 0 13 0 0 0 0 3 0 0 1 1
 Node 137:   3 1 0 2 1 1 0 2 0 9 0 0
 Node 138:   3 0 3 0 0 0 0 2 0 0 1 1
 Node 139:   3 1 0 2 1 1 0 1 0 9 0 0
 Node 140:   3 0 13 0 0 0 0 2 0 0 1 1
 Node 141:   3 1 0 2 1 1 0 1 0 0 0 0
 Node 142:   3 0 13 0 0 0 0 1 0 0 1 1
 Node 143:   2 1 0 2 1 1 0 0 0 9 0 0
 Node 144:   3 0 13 0 0 0 0 0 0 0 1 1
 Node 145:   3 1 0 2 1 1 0 0 0 9 0 0
 Node 146:   4 1 23 0 0 0 0 0 0 0 1 1
 Node 147:   4 2 0 2 1 1 0 0 0 9 0 0
 Node 148:   5 2 13 0 0 0 0 0 0 0 1 1
 Node 149:   4 3 0 2 1 1 0 0 0 18 0 0
 Node 150:   5 3 13 0 0 0 0 0 0 0 1 1
 Node 151:   5 4 0 2 1 1 0 0 0 9 0 0
 Node 152:   6 4 23 0 0 0 0 0 0 0 1 1
 Node 153:   6 5 0 2 1 1 0 0 0 9 0 0
 Node 154:   7 5 13 0 0 0 0 0 0 0 1 1
 Node 155:   6 6 0 2 1 1 0 0 0 18 0 0
 Node 156:   7 6 13 0 0 0 0 0 0 0 1 1
 Node 157:   7 7 0 2 1 1 0 0 0 9 0 0
 Node 158:   8 7 23 0 0 0 0 0 0 0 1 1
 Node 159:   8 8 0 2 1 1 0 0 0 9 0 0
 Node 160:   8 8 13 0 0 0 0 0 0 0 1 1
 Node 161:   7 8 0 2 1 1 0 0 0 18 0 0
 Node 162:   7 8 13 0 0 0 0 0 0 0 1 1
 Node 163:   6 8 0 2 1 1 0 0 0 9 0 0
 Node 164:   6 7 23 0 0 0 0 0 0 0 1 1
 Node 165:   5 7 0 2 1 1 0 0 0 9 0 0
 Node 166:   5 6 13 0 0 0 0 0 0 0 1 1
 Node 167:   4 6 0 2 1 1 0 0 0 18 0 0
 Node 168:   4 6 13 0 0 0 0 0 0 0 1 1
 Node 169:   3 6 0 2 1 1 0 0 0 9 0 0
 Node 170:   3 5 23 0 0 0 0 0 0 0 1 1
 Node 171:   2 5 0 2 1 1 0 0 0 9 0 0
 Node 172:   2 4 13 0 0 0 0 0 0 0 1 1
 Node 173:   1 4 0 2 1 1 0 0 0 18 0 0
 Node 174:   1 4 13 0 0 0 0 0 0 0 1 1
 Node 175:   0 4 0 2 1 1 0 0 0 9 0 0
 Node 176:   0 3 13 0 0 0 1 0 0 0 1 1
 Node 177:   0 4 0 2 1 1 0 0 0 9 0 0
 Node 178:   0 3 3 0 0 0 1 0 0 0 1 1
 Node 179:   0 4 0 2 1 1 1 0 0 9 0 0
 Node 180:   0 4 13 0 0 0 2 0 0 0 1 1
 Node 181:   0 5 0 2 1 1 2 0 0 0 0 0
 Node 182:   0 4 13 0 0 0 3 0 0 0 1 1
 Node 183:   0 5 0 2 1 1 2 0 0 9 0 0
 Node 184:   0 4 3 0 0 0 3 0 0 0 1 1
 Node 185:   0 5 0 2 1 1 3 0 0 9 0 0
 Node 186:   0 5 13 0 0 0 4 0 0 0 1 1
 Node 187:   0 6 0 2 1 1 4 0 0 0 0 0
 Node 188:   0 5 13 0 0 0 5 0 0 0 1 1
 Node 189:   0 6 0 2 1 1 4 0 0 9 0 0
 Node 190:   0 5 3 0 0 0 5 0 0 0 1 1
 Node 191:   0 6 0 2 1 1 5 0 0 9 0 0
 Node 192:   5 0 13 0 0 0 0 6 0 0 1 1
 Node 193:   5 1 0 3 1 1 0 5 0 0 0 0
 Node 194:   5 0 13 0 0 0 0 5 0 0 1 1
 Node 195:   4 1 0 3 1 1 0 4 0 9 0 0
 Node 196:   4 0 4 0 0 0 0 4 0 0 1 1
 Node 197:   4 1 0 3 1 1 0 3 0 9 0 0
 Node 198:   4 0 13 0 0 0 0 4 0 0 1 1
 Node 199:   4 1 0 3 1 1 0 3 0 0 0 0
 Node 200:   4 0 13 0 0 0 0 3 0 0 1 1
 Node 201:   3 1 0 3 1 1 0 2 0 9 0 0
 Node 202:   3 0 4 0 0 0 0 2 0 0 1 1
 Node 203:   3 1 0 3 1 1 0 1 0 9 0 0
 Node 204:   3 0 13 0 0 0 0 2 0 0 1 1
 Node 205:   3 1 0 3 1 1 0 1 0 0 0 0
 Node 206:   3 0 13 0 0 0 0 1 0 0 1 1
 Node 207:   2 1 0 3 1 1 0 0 0 9 0 0
 Node 208:   3 0 13 0 0 0 0 0 0 0 1 1
 Node 209:   3 1 0 3 1 1 0 0 0 9 0 0
 Node 210:   4 1 22 0 0 0 0 0 0 0 1 1
 Node 211:   4 2 0 3 1 1 0 0 0 9 0 0
 Node 212:   5 2 13 0 0 0 0 0 0 0 1 1
 Node 213:   4 3 0 3 1 1 0 0 0 18 0 0
 Node 214:   5 3 13 0 0 0 0 0 0 0 1 1
 Node 215:   5 4 0 3 1 1 0 0 0 9 0 0
