ID Allocation Policy is 0(low port first) / 1(Crossing Paths based method): 1
Address method is 0(destination_based) / 1(path_based): 1
 dst_based renewable label = 32
 path_based renewable label = 32


 (east, west, south, north, from host0,... east(vch2), south(vch2), west(vch2), north(vch2), from host(vch2)0,.. to host(vch2)0,..
 Node 98:   13 15 10 0 0 0 0 0 0 10 1 1
 Node 99:   12 14 10 0 1 1 0 0 0 10 0 0
 Node 100:   11 13 20 0 0 0 0 0 0 20 1 1
 Node 101:   10 13 10 0 1 1 0 0 0 10 0 0
 Node 102:   9 12 10 0 0 0 0 0 0 10 1 1
 Node 103:   8 11 20 0 1 1 0 0 0 20 0 0
 Node 104:   7 11 10 0 0 0 0 0 0 10 1 1
 Node 105:   6 10 10 0 1 1 0 0 0 10 0 0
 Node 106:   5 9 20 0 0 0 0 0 0 20 1 1
 Node 107:   4 9 10 0 1 1 0 0 0 10 0 0
 Node 108:   3 8 10 0 0 0 0 0 0 10 1 1
 Node 109:   2 7 20 0 1 1 0 0 0 20 0 0
 Node 110:   1 7 10 0 0 0 0 0 0 10 1 1
 Node 111:   0 6 10 0 1 1 0 0 0 10 0 0
 Node 112:   0 5 10 0 0 0 1 0 0 10 1 1
 Node 113:   0 6 10 0 1 1 1 0 0 10 0 0
 Node 114:   0 6 0 0 0 0 2 0 0 0 1 1
 Node 115:   0 6 10 0 1 1 3 0 0 10 0 0
 Node 116:   0 7 10 0 0 0 3 0 0 10 1 1
 Node 117:   0 7 0 0 1 1 4 0 0 0 0 0
 Node 118:   0 7 10 0 0 0 5 0 0 10 1 1
 Node 119:   0 8 10 0 1 1 5 0 0 10 0 0
 Node 120:   0 8 0 0 0 0 6 0 0 0 1 1
 Node 121:   0 8 10 0 1 1 7 0 0 10 0 0
 Node 122:   0 9 10 0 0 0 7 0 0 10 1 1
 Node 123:   0 9 0 0 1 1 8 0 0 0 0 0
 Node 124:   0 9 10 0 0 0 9 0 0 10 1 1
 Node 125:   0 10 10 0 1 1 9 0 0 10 0 0
 Node 126:   0 10 0 0 0 0 10 0 0 0 1 1
 Node 127:   0 10 10 0 1 1 11 0 0 10 0 0
 Node 128:   10 0 10 0 0 0 0 11 0 9 1 1
 Node 129:   10 0 0 0 1 1 0 10 0 0 0 0
 Node 130:   10 0 10 0 0 0 0 9 0 9 1 1
 Node 131:   9 0 10 0 1 1 0 9 0 9 0 0
 Node 132:   9 0 0 0 0 0 0 8 0 0 1 1
 Node 133:   9 0 10 0 1 1 0 7 0 9 0 0
 Node 134:   8 0 10 0 0 0 0 7 0 9 1 1
 Node 135:   8 0 0 0 1 1 0 6 0 0 0 0
 Node 136:   8 0 10 0 0 0 0 5 0 9 1 1
 Node 137:   7 0 10 0 1 1 0 5 0 9 0 0
 Node 138:   7 0 0 0 0 0 0 4 0 0 1 1
 Node 139:   7 0 10 0 1 1 0 3 0 9 0 0
 Node 140:   6 0 10 0 0 0 0 3 0 9 1 1
 Node 141:   6 0 0 0 1 1 0 2 0 0 0 0
 Node 142:   6 0 10 0 0 0 0 1 0 9 1 1
 Node 143:   5 0 10 0 1 1 0 1 0 9 0 0
 Node 144:   6 0 10 0 0 0 0 0 0 9 1 1
 Node 145:   7 1 10 0 1 1 0 0 0 9 0 0
 Node 146:   7 2 20 0 0 0 0 0 0 18 1 1
 Node 147:   8 3 10 0 1 1 0 0 0 9 0 0
 Node 148:   9 4 10 0 0 0 0 0 0 9 1 1
 Node 149:   9 5 20 0 1 1 0 0 0 18 0 0
 Node 150:   10 6 10 0 0 0 0 0 0 9 1 1
 Node 151:   11 7 10 0 1 1 0 0 0 9 0 0
 Node 152:   11 8 20 0 0 0 0 0 0 18 1 1
 Node 153:   12 9 10 0 1 1 0 0 0 9 0 0
 Node 154:   13 10 10 0 0 0 0 0 0 9 1 1
 Node 155:   13 11 20 0 1 1 0 0 0 18 0 0
 Node 156:   14 12 10 0 0 0 0 0 0 9 1 1
 Node 157:   15 13 10 0 1 1 0 0 0 9 0 0
 Node 158:   15 14 20 0 0 0 0 0 0 18 1 1
 Node 159:   16 15 10 0 1 1 0 0 0 9 0 0
 Node 160:   15 16 10 0 0 0 0 0 0 9 1 1
 Node 161:   14 15 20 0 1 1 0 0 0 18 0 0
 Node 162:   13 15 10 0 0 0 0 0 0 9 1 1
 Node 163:   12 14 10 0 1 1 0 0 0 9 0 0
 Node 164:   11 13 20 0 0 0 0 0 0 18 1 1
 Node 165:   10 13 10 0 1 1 0 0 0 9 0 0
 Node 166:   9 12 10 0 0 0 0 0 0 9 1 1
 Node 167:   8 11 20 0 1 1 0 0 0 18 0 0
 Node 168:   7 11 10 0 0 0 0 0 0 9 1 1
 Node 169:   6 10 10 0 1 1 0 0 0 9 0 0
 Node 170:   5 9 20 0 0 0 0 0 0 18 1 1
 Node 171:   4 9 10 0 1 1 0 0 0 9 0 0
 Node 172:   3 8 10 0 0 0 0 0 0 9 1 1
