ID Allocation Policy is 0(low port first) / 1(Crossing Paths based method): 1
Address method is 0(destination_based) / 1(path_based): 1
 dst_based renewable label = 9
 path_based renewable label = 9


 (east, west, south, north, from host0,... east(vch2), south(vch2), west(vch2), north(vch2), from host(vch2)0,.. to host(vch2)0,..
 Node 98:   3 0 5 1 1 1 0 0 0 0 0 0
 Node 99:   4 0 0 2 1 1 0 0 0 0 0 0
 Node 100:   5 0 4 0 1 1 0 0 0 0 0 0
 Node 101:   6 0 1 4 1 1 0 0 0 0 0 0
 Node 102:   1 0 8 6 0 0 0 0 0 0 1 1
 Node 103:   1 8 0 0 1 1 0 0 0 0 0 0
 Node 104:   1 7 3 0 1 1 0 0 0 0 0 0
 Node 105:   0 6 1 5 1 1 0 0 0 0 0 0
 Node 106:   0 5 6 2 1 1 0 0 0 0 0 0
 Node 107:   0 4 0 2 1 1 0 0 0 0 0 0
 Node 108:   0 3 4 0 1 1 0 0 0 0 0 0
 Node 109:   0 2 0 2 1 1 0 0 0 0 0 0
 Node 110:   0 1 1 4 1 1 0 0 0 0 0 0
 Node 111:   0 0 1 2 1 1 1 0 0 0 0 0
 Node 112:   1 0 4 1 1 1 0 3 0 0 0 0
 Node 113:   1 0 0 5 1 1 0 3 0 0 0 0
 Node 114:   1 0 4 1 1 1 0 2 0 0 0 0
 Node 115:   0 0 1 3 1 1 0 2 0 0 0 0
 Node 116:   0 0 4 0 1 1 0 1 0 0 0 0
 Node 117:   0 0 1 5 1 1 0 1 0 0 0 0
 Node 118:   1 0 7 1 1 1 0 0 0 0 0 0
 Node 119:   2 0 0 1 1 1 0 0 0 0 0 0
 Node 120:   3 0 2 0 1 1 0 0 0 0 0 0
 Node 121:   4 0 1 6 1 1 0 0 0 0 0 0
 Node 122:   5 0 5 2 1 1 0 0 0 0 0 0
 Node 123:   6 1 0 3 1 1 0 0 0 0 0 0
 Node 124:   7 1 4 0 1 1 0 0 0 0 0 0
 Node 125:   8 2 0 3 1 1 0 0 0 0 0 0
 Node 126:   0 2 6 5 0 0 1 0 0 0 1 1
 Node 127:   0 4 1 2 1 1 1 0 0 0 0 0
 Node 128:   4 0 2 1 0 0 0 1 0 0 1 1
 Node 129:   2 0 5 6 1 1 0 1 0 0 0 0
 Node 130:   2 8 3 0 0 0 0 0 0 0 1 1
 Node 131:   1 7 0 4 0 0 0 0 0 0 1 1
 Node 132:   1 6 3 0 0 0 0 0 0 0 1 1
 Node 133:   0 5 2 5 0 0 0 0 0 0 1 1
 Node 134:   0 4 6 1 0 0 0 0 0 0 1 1
 Node 135:   0 3 0 2 0 0 0 0 0 0 1 1
 Node 136:   0 2 1 0 0 0 0 0 0 0 1 1
 Node 137:   0 1 1 7 0 0 0 0 0 0 1 1
 Node 138:   0 0 5 1 0 0 1 0 0 0 1 1
 Node 139:   0 0 0 4 0 0 1 0 0 0 1 1
 Node 140:   0 0 3 1 0 0 2 0 0 0 1 1
 Node 141:   0 1 1 4 0 0 2 0 0 0 1 1
 Node 142:   0 1 5 0 0 0 3 0 0 0 1 1
 Node 143:   0 1 1 4 0 0 3 0 0 0 1 1
 Node 144:   0 0 2 1 0 0 0 1 0 0 1 1
 Node 145:   1 0 4 1 0 0 0 0 0 0 1 1
 Node 146:   2 0 2 0 0 0 0 0 0 0 1 1
 Node 147:   3 0 0 4 0 0 0 0 0 0 1 1
 Node 148:   4 0 2 0 0 0 0 0 0 0 1 1
 Node 149:   5 0 2 6 0 0 0 0 0 0 1 1
 Node 150:   6 0 5 1 0 0 0 0 0 0 1 1
 Node 151:   7 1 0 3 0 0 0 0 0 0 1 1
 Node 152:   8 1 0 0 0 0 0 0 0 0 1 1
 Node 153:   0 1 6 8 1 1 0 0 0 0 0 0
 Node 154:   0 6 4 1 0 0 0 0 0 0 1 1
 Node 155:   0 5 0 4 0 0 0 0 0 0 1 1
 Node 156:   0 4 2 0 0 0 0 0 0 0 1 1
 Node 157:   0 3 1 5 0 0 0 0 0 0 1 1
 Node 158:   0 2 4 0 0 0 0 0 0 0 1 1
 Node 159:   0 1 1 4 0 0 0 0 1 0 1 1
 Node 160:   2 0 2 1 0 0 0 0 0 0 1 1
 Node 161:   2 0 4 1 0 0 0 0 0 0 1 1
 Node 162:   3 0 1 0 0 0 0 0 0 0 1 1
 Node 163:   4 0 0 5 0 0 0 0 0 0 1 1
 Node 164:   5 0 0 0 0 0 0 0 0 0 1 1
 Node 165:   1 0 5 7 1 1 0 0 2 0 0 0
 Node 166:   1 8 4 1 0 0 0 0 0 0 1 1
 Node 167:   1 7 0 4 0 0 0 0 0 0 1 1
 Node 168:   1 6 0 0 0 0 0 0 0 0 1 1
 Node 169:   1 5 5 1 0 0 0 0 0 0 1 1
 Node 170:   0 4 3 1 0 0 0 0 0 0 1 1
