ID Allocation Policy is 0(low port first) / 1(Crossing Paths based method): 1
Address method is 0(destination_based) / 1(path_based): 1
 dst_based renewable label = 3
 path_based renewable label = 3
 slot_max = 3


 (east, west, south, north, front, back, out, in, from host0,... east(vch2), south(vch2), west(vch2), north(vch2), front, back, out, in, from host(vch2)0,.. to host(vch2)0,..
 Node 68:   0 0 1 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 1 1
 Node 69:   1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 1
 Node 70:   2 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 1
 Node 71:   0 0 2 2 2 0 0 1 0 0 1 0 0 0 0 1 0 0 1 1
 Node 72:   0 0 1 1 0 0 1 0 0 0 0 3 0 0 0 1 0 0 1 1
 Node 73:   3 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1
 Node 74:   3 1 2 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1
 Node 75:   0 1 2 3 2 0 2 0 1 1 1 0 0 0 0 1 0 0 0 0
 Node 76:   0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 1
 Node 77:   0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 1
 Node 78:   1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 1
 Node 79:   0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 1 0 0 1 1
 Node 80:   1 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0
 Node 81:   2 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0
 Node 82:   0 0 0 0 2 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0
 Node 83:   0 1 0 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0
 Node 84:   0 0 0 1 0 0 2 0 1 1 0 0 0 0 0 0 0 0 0 0
 Node 85:   1 0 1 1 0 1 2 0 1 1 0 0 0 0 0 0 0 0 0 0
 Node 86:   0 1 1 0 2 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0
 Node 87:   0 0 0 1 1 0 2 0 1 1 0 0 0 0 0 0 0 0 0 0
 Node 88:   2 0 1 1 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0
 Node 89:   3 1 1 2 2 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0
 Node 90:   1 2 2 3 0 2 2 0 0 0 0 0 0 0 0 0 0 0 1 1
 Node 91:   0 3 0 1 2 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0
