ID Allocation Policy is 0(low port first) / 1(Crossing Paths based method): 1
Address method is 0(destination_based) / 1(path_based): 1
 dst_based renewable label = 2
 path_based renewable label = 2
 slot_max = 2


 (east, west, south, north, front, back, out, in, from host0,... east(vch2), south(vch2), west(vch2), north(vch2), front, back, out, in, from host(vch2)0,.. to host(vch2)0,..
 Node 64:   0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0
 Node 65:   0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0
 Node 66:   0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 1
 Node 67:   0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 1
 Node 68:   0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0
 Node 69:   0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0
 Node 70:   0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 1
 Node 71:   0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 1
 Node 72:   0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0
 Node 73:   0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0
 Node 74:   0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 1
 Node 75:   0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 1
 Node 76:   0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0
 Node 77:   0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0
 Node 78:   0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 1
 Node 79:   0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 1
 Node 80:   0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0
 Node 81:   0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0
 Node 82:   0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 1
 Node 83:   0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 1
 Node 84:   0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0
 Node 85:   0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0
 Node 86:   0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 1
 Node 87:   0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 1
 Node 88:   0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0
 Node 89:   0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0
 Node 90:   0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 1
 Node 91:   0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 1
 Node 92:   0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0
 Node 93:   0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0
 Node 94:   0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 1
 Node 95:   0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 1
 Node 96:   1 0 1 0 0 2 1 0 1 1 0 0 0 0 0 0 0 0 0 0
 Node 97:   2 1 1 0 0 2 1 0 1 1 0 0 0 0 0 0 0 0 0 0
 Node 98:   1 2 1 0 0 2 1 0 1 0 0 0 0 0 0 0 0 0 0 1
 Node 99:   0 1 1 0 0 2 1 0 1 0 0 0 0 0 0 0 0 0 0 1
 Node 100:   1 0 2 1 0 2 1 0 1 1 0 0 0 0 0 0 0 0 0 0
 Node 101:   2 1 2 1 0 2 1 0 1 1 0 0 0 0 0 0 0 0 0 0
 Node 102:   1 2 2 1 0 2 1 0 1 0 0 0 0 0 0 0 0 0 0 1
 Node 103:   0 1 2 1 0 2 1 0 1 0 0 0 0 0 0 0 0 0 0 1
 Node 104:   1 0 1 2 0 2 1 0 1 1 0 0 0 0 0 0 0 0 0 0
 Node 105:   2 1 1 2 0 2 1 0 1 1 0 0 0 0 0 0 0 0 0 0
 Node 106:   1 2 1 2 0 2 1 0 1 0 0 0 0 0 0 0 0 0 0 1
 Node 107:   0 1 1 2 0 2 1 0 1 0 0 0 0 0 0 0 0 0 0 1
 Node 108:   1 0 0 1 0 2 1 0 1 1 0 0 0 0 0 0 0 0 0 0
 Node 109:   2 1 0 1 0 2 1 0 1 1 0 0 0 0 0 0 0 0 0 0
 Node 110:   1 2 0 1 0 2 1 0 1 0 0 0 0 0 0 0 0 0 0 1
 Node 111:   0 1 0 1 0 2 1 0 1 0 0 0 0 0 0 0 0 0 0 1
 Node 112:   1 0 1 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0
 Node 113:   2 1 1 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0
 Node 114:   1 2 1 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 1
 Node 115:   0 1 1 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 1
 Node 116:   1 0 2 1 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0
 Node 117:   2 1 2 1 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0
 Node 118:   1 2 2 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 1
 Node 119:   0 1 2 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 1
 Node 120:   1 0 1 2 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0
 Node 121:   2 1 1 2 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0
 Node 122:   1 2 1 2 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 1
 Node 123:   0 1 1 2 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 1
 Node 124:   1 0 0 1 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0
 Node 125:   2 1 0 1 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0
 Node 126:   1 2 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 1
 Node 127:   0 1 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 1
 Node 128:   1 0 1 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0
 Node 129:   2 1 1 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0
 Node 130:   1 2 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1
 Node 131:   0 1 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1
 Node 132:   1 0 2 1 1 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0
 Node 133:   2 1 2 1 1 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0
 Node 134:   1 2 2 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1
 Node 135:   0 1 2 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1
 Node 136:   1 0 1 2 1 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0
 Node 137:   2 1 1 2 1 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0
 Node 138:   1 2 1 2 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1
 Node 139:   0 1 1 2 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1
 Node 140:   1 0 0 1 1 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0
 Node 141:   2 1 0 1 1 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0
 Node 142:   1 2 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1
 Node 143:   0 1 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1
 Node 144:   1 0 1 0 2 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0
 Node 145:   2 1 1 0 2 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0
 Node 146:   1 2 1 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1
 Node 147:   0 1 1 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1
 Node 148:   1 0 2 1 2 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0
 Node 149:   2 1 2 1 2 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0
 Node 150:   1 2 2 1 2 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1
 Node 151:   0 1 2 1 2 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1
 Node 152:   1 0 1 2 2 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0
 Node 153:   2 1 1 2 2 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0
 Node 154:   1 2 1 2 2 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1
 Node 155:   0 1 1 2 2 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1
 Node 156:   1 0 0 1 2 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0
 Node 157:   2 1 0 1 2 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0
 Node 158:   1 2 0 1 2 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1
 Node 159:   0 1 0 1 2 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1
 Node 160:   0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 1 0
 Node 161:   0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 1 0
 Node 162:   0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 1 1
 Node 163:   0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 1 1
 Node 164:   0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 1 0
